Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.762,0.762,0.762,0.762,0.762,0.762,0.647,0.647,0.647,0.647,0.647,0.647,0.678,0.678,0.678,0.678,0.678,0.678,0.660,0.660,0.660,0.660,0.660,0.660,0.730,0.730,0.730,0.730,0.730,0.730
ecoli-0_vs_1-5-fold,0.968,0.973,0.968,0.968,0.968,0.968,0.972,0.972,0.972,0.972,0.972,0.972,0.980,0.986,0.980,0.980,0.980,0.980,0.975,0.978,0.975,0.975,0.975,0.975,0.965,0.972,0.965,0.965,0.965,0.965
wisconsin-5-fold,0.956,0.956,0.956,0.956,0.956,0.956,0.933,0.933,0.933,0.933,0.933,0.933,0.941,0.941,0.941,0.941,0.941,0.941,0.937,0.937,0.937,0.937,0.937,0.937,0.950,0.950,0.950,0.950,0.950,0.950
pima-5-fold,0.746,0.747,0.746,0.746,0.746,0.747,0.582,0.586,0.586,0.586,0.582,0.586,0.659,0.661,0.657,0.657,0.659,0.661,0.616,0.619,0.617,0.617,0.616,0.619,0.696,0.698,0.697,0.697,0.696,0.698
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.818,0.818,0.818,0.818,0.818,0.818,0.729,0.729,0.729,0.729,0.729,0.714,0.723,0.723,0.723,0.723,0.723,0.733,0.722,0.722,0.722,0.722,0.722,0.719,0.790,0.790,0.790,0.790,0.790,0.785
yeast1-5-fold,0.768,0.768,0.768,0.768,0.768,0.769,0.494,0.494,0.494,0.494,0.496,0.496,0.629,0.629,0.629,0.629,0.630,0.632,0.552,0.552,0.552,0.552,0.554,0.555,0.658,0.658,0.658,0.658,0.660,0.660
haberman-5-fold,0.696,0.696,0.686,0.693,0.696,0.689,0.261,0.261,0.249,0.249,0.261,0.249,0.394,0.394,0.373,0.385,0.394,0.393,0.304,0.304,0.289,0.294,0.304,0.291,0.462,0.462,0.450,0.453,0.462,0.451
vehicle2-5-fold,0.972,0.972,0.972,0.972,0.972,0.972,0.936,0.936,0.936,0.936,0.936,0.936,0.955,0.955,0.955,0.955,0.955,0.955,0.944,0.944,0.944,0.944,0.944,0.944,0.959,0.959,0.959,0.959,0.959,0.959
vehicle1-5-fold,0.784,0.785,0.784,0.784,0.784,0.784,0.502,0.502,0.502,0.502,0.502,0.502,0.587,0.590,0.587,0.587,0.587,0.587,0.538,0.540,0.538,0.538,0.538,0.538,0.661,0.662,0.661,0.661,0.661,0.661
vehicle3-5-fold,0.783,0.783,0.783,0.783,0.784,0.783,0.490,0.490,0.490,0.490,0.495,0.490,0.572,0.572,0.572,0.572,0.575,0.572,0.523,0.523,0.523,0.523,0.527,0.523,0.650,0.650,0.650,0.650,0.654,0.650
glass-0-1-2-3_vs_4-5-6-5-fold,0.949,0.949,0.949,0.949,0.949,0.949,0.882,0.882,0.882,0.882,0.882,0.882,0.901,0.901,0.901,0.901,0.901,0.901,0.889,0.889,0.889,0.889,0.889,0.889,0.923,0.923,0.923,0.923,0.923,0.923
vehicle0-5-fold,0.975,0.975,0.975,0.975,0.975,0.975,0.960,0.960,0.960,0.960,0.960,0.960,0.937,0.937,0.937,0.937,0.937,0.937,0.948,0.948,0.948,0.948,0.948,0.948,0.970,0.970,0.970,0.970,0.970,0.970
ecoli1-5-fold,0.893,0.893,0.893,0.893,0.893,0.890,0.780,0.780,0.780,0.780,0.780,0.767,0.769,0.769,0.769,0.769,0.769,0.766,0.770,0.770,0.770,0.770,0.770,0.763,0.849,0.849,0.849,0.849,0.849,0.842
new-thyroid1-5-fold,0.986,0.977,0.986,0.977,0.981,0.986,0.971,0.914,0.971,0.914,0.943,0.971,0.956,0.950,0.956,0.950,0.956,0.956,0.960,0.929,0.960,0.929,0.944,0.960,0.980,0.950,0.980,0.950,0.965,0.980
ecoli2-5-fold,0.941,0.941,0.941,0.941,0.941,0.941,0.751,0.751,0.751,0.751,0.751,0.751,0.846,0.846,0.846,0.846,0.846,0.846,0.789,0.789,0.789,0.789,0.789,0.789,0.851,0.851,0.851,0.851,0.851,0.851
segment0-5-fold,0.998,0.998,0.998,0.998,0.998,0.998,0.991,0.991,0.991,0.991,0.991,0.988,0.994,0.994,0.994,0.994,0.994,0.997,0.992,0.992,0.992,0.992,0.992,0.992,0.995,0.995,0.995,0.995,0.995,0.994
