Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.645,0.626,0.598,0.636,0.607,0.631,0.000,0.368,0.131,0.242,0.291,0.366,0.000,0.475,0.458,0.293,0.424,0.471,0.000,0.414,0.180,0.215,0.340,0.403,0.000,0.532,0.321,0.266,0.471,0.520
ecoli-0_vs_1-5-fold,0.977,0.977,0.982,0.973,0.982,0.955,0.986,0.979,0.993,0.986,0.986,0.979,0.980,0.986,0.980,0.973,0.987,0.955,0.983,0.982,0.986,0.979,0.986,0.966,0.972,0.976,0.976,0.966,0.979,0.941
wisconsin-5-fold,0.966,0.966,0.968,0.969,0.968,0.960,0.975,0.958,0.967,0.967,0.971,0.946,0.933,0.946,0.943,0.947,0.940,0.943,0.953,0.952,0.955,0.956,0.955,0.944,0.968,0.964,0.967,0.969,0.968,0.957
pima-5-fold,0.672,0.763,0.763,0.771,0.773,0.766,0.258,0.612,0.582,0.574,0.597,0.586,0.566,0.680,0.696,0.716,0.711,0.703,0.351,0.642,0.628,0.634,0.646,0.636,0.477,0.717,0.704,0.707,0.718,0.709
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.673,0.766,0.767,0.739,0.766,0.725,0.000,0.629,0.586,0.371,0.614,0.443,0.000,0.661,0.675,0.672,0.665,0.628,0.000,0.638,0.621,0.461,0.633,0.501,0.000,0.720,0.703,0.567,0.716,0.607
yeast1-5-fold,0.765,0.756,0.761,0.757,0.758,0.767,0.424,0.415,0.378,0.378,0.461,0.427,0.647,0.629,0.651,0.643,0.611,0.653,0.508,0.492,0.477,0.473,0.522,0.510,0.617,0.606,0.588,0.586,0.634,0.618
haberman-5-fold,0.742,0.758,0.745,0.752,0.735,0.725,0.160,0.196,0.135,0.159,0.163,0.271,0.532,0.645,0.663,0.670,0.517,0.469,0.244,0.297,0.217,0.242,0.213,0.337,0.382,0.423,0.353,0.372,0.325,0.480
vehicle2-5-fold,0.816,0.962,0.936,0.879,0.954,0.942,0.413,0.927,0.862,0.697,0.904,0.876,0.783,0.927,0.887,0.811,0.917,0.899,0.522,0.926,0.873,0.746,0.910,0.887,0.618,0.950,0.910,0.809,0.937,0.919
vehicle1-5-fold,0.745,0.798,0.800,0.767,0.794,0.788,0.064,0.506,0.437,0.193,0.479,0.469,0.454,0.635,0.661,0.648,0.644,0.621,0.106,0.563,0.519,0.295,0.546,0.527,0.210,0.674,0.628,0.426,0.657,0.642
