Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.832,0.767,0.776,0.766,0.785,0.808,0.688,0.607,0.633,0.594,0.619,0.646,0.815,0.698,0.719,0.724,0.742,0.786,0.736,0.647,0.666,0.647,0.668,0.705,0.786,0.718,0.732,0.713,0.733,0.760
ecoli-0_vs_1-5-fold,0.968,0.973,0.968,0.968,0.968,0.945,0.965,0.972,0.965,0.965,0.965,0.958,0.987,0.987,0.987,0.987,0.987,0.961,0.975,0.979,0.975,0.975,0.975,0.958,0.969,0.972,0.969,0.969,0.969,0.938
wisconsin-5-fold,0.955,0.953,0.955,0.960,0.953,0.959,0.929,0.925,0.933,0.946,0.925,0.933,0.941,0.941,0.938,0.942,0.941,0.950,0.934,0.932,0.935,0.944,0.932,0.941,0.948,0.946,0.949,0.957,0.946,0.953
pima-5-fold,0.682,0.719,0.711,0.710,0.697,0.723,0.530,0.566,0.597,0.574,0.511,0.571,0.545,0.604,0.585,0.585,0.578,0.609,0.537,0.581,0.589,0.575,0.540,0.588,0.635,0.670,0.677,0.666,0.637,0.676
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.790,0.827,0.804,0.781,0.832,0.776,0.771,0.757,0.714,0.700,0.771,0.700,0.651,0.730,0.719,0.665,0.733,0.647,0.700,0.741,0.711,0.677,0.748,0.671,0.780,0.806,0.776,0.755,0.812,0.753
yeast1-5-fold,0.713,0.716,0.719,0.709,0.715,0.711,0.503,0.496,0.522,0.510,0.476,0.483,0.504,0.508,0.514,0.497,0.506,0.502,0.503,0.502,0.517,0.503,0.490,0.491,0.633,0.631,0.645,0.634,0.620,0.622
haberman-5-fold,0.699,0.667,0.670,0.667,0.657,0.696,0.420,0.342,0.369,0.357,0.345,0.394,0.435,0.361,0.382,0.373,0.362,0.435,0.423,0.341,0.374,0.360,0.350,0.406,0.575,0.502,0.533,0.523,0.513,0.558
vehicle2-5-fold,0.947,0.980,0.970,0.952,0.981,0.970,0.895,0.973,0.959,0.913,0.968,0.945,0.901,0.951,0.930,0.902,0.959,0.941,0.897,0.961,0.943,0.907,0.963,0.943,0.929,0.977,0.967,0.938,0.977,0.962
vehicle1-5-fold,0.702,0.791,0.768,0.741,0.782,0.800,0.391,0.534,0.507,0.484,0.558,0.585,0.415,0.608,0.561,0.498,0.581,0.613,0.401,0.566,0.529,0.488,0.566,0.596,0.560,0.683,0.657,0.632,0.690,0.712
vehicle3-5-fold,0.723,0.795,0.810,0.743,0.805,0.793,0.372,0.519,0.576,0.477,0.547,0.548,0.439,0.608,0.634,0.487,0.624,0.595,0.402,0.559,0.603,0.478,0.581,0.570,0.558,0.678,0.715,0.626,0.696,0.692
glass-0-1-2-3_vs_4-5-6-5-fold,0.949,0.939,0.944,0.944,0.949,0.935,0.842,0.844,0.882,0.902,0.862,0.804,0.936,0.904,0.892,0.880,0.922,0.919,0.885,0.870,0.884,0.888,0.887,0.854,0.909,0.904,0.921,0.929,0.915,0.885
vehicle0-5-fold,0.967,0.972,0.965,0.936,0.979,0.972,0.955,0.955,0.940,0.869,0.965,0.939,0.913,0.929,0.915,0.862,0.947,0.941,0.932,0.941,0.926,0.865,0.956,0.940,0.962,0.966,0.956,0.912,0.974,0.960
ecoli1-5-fold,0.893,0.896,0.890,0.881,0.893,0.863,0.793,0.767,0.779,0.767,0.754,0.703,0.759,0.789,0.760,0.739,0.780,0.709,0.774,0.773,0.766,0.747,0.765,0.699,0.854,0.845,0.847,0.834,0.838,0.796
new-thyroid1-5-fold,0.995,0.986,0.981,0.977,0.986,0.981,1.000,0.971,0.943,0.914,0.943,0.943,0.975,0.950,0.946,0.946,0.975,0.946,0.987,0.958,0.943,0.927,0.956,0.943,0.997,0.980,0.965,0.950,0.968,0.965
