Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.776,0.757,0.780,0.748,0.738,0.785,0.461,0.581,0.526,0.473,0.488,0.592,0.847,0.695,0.791,0.723,0.693,0.751,0.594,0.631,0.629,0.568,0.570,0.662,0.660,0.704,0.694,0.649,0.652,0.726
ecoli-0_vs_1-5-fold,0.977,0.977,0.982,0.982,0.982,0.959,0.986,0.979,0.993,0.993,0.986,0.986,0.980,0.986,0.980,0.980,0.987,0.955,0.983,0.982,0.986,0.986,0.986,0.969,0.972,0.976,0.976,0.976,0.979,0.945
wisconsin-5-fold,0.968,0.968,0.969,0.969,0.968,0.962,0.979,0.962,0.971,0.967,0.971,0.950,0.933,0.947,0.944,0.947,0.940,0.943,0.955,0.954,0.957,0.956,0.955,0.946,0.970,0.967,0.970,0.969,0.968,0.959
pima-5-fold,0.729,0.763,0.771,0.764,0.768,0.768,0.455,0.597,0.597,0.567,0.597,0.612,0.662,0.688,0.706,0.703,0.699,0.691,0.539,0.635,0.642,0.624,0.642,0.647,0.630,0.711,0.716,0.700,0.716,0.721
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.799,0.776,0.790,0.804,0.771,0.771,0.543,0.686,0.686,0.686,0.643,0.629,0.791,0.658,0.681,0.708,0.664,0.662,0.624,0.667,0.681,0.695,0.648,0.643,0.698,0.746,0.757,0.767,0.729,0.726
yeast1-5-fold,0.773,0.774,0.765,0.765,0.770,0.772,0.457,0.431,0.410,0.413,0.445,0.459,0.653,0.675,0.651,0.650,0.652,0.653,0.535,0.522,0.502,0.504,0.526,0.537,0.639,0.625,0.610,0.611,0.632,0.641
haberman-5-fold,0.742,0.748,0.725,0.755,0.735,0.716,0.208,0.221,0.122,0.220,0.247,0.209,0.520,0.546,0.410,0.576,0.517,0.413,0.296,0.313,0.187,0.314,0.325,0.273,0.433,0.445,0.324,0.444,0.465,0.424
vehicle2-5-fold,0.889,0.965,0.953,0.927,0.960,0.953,0.647,0.936,0.908,0.844,0.918,0.899,0.899,0.927,0.909,0.871,0.927,0.918,0.747,0.931,0.908,0.856,0.922,0.908,0.791,0.955,0.938,0.898,0.946,0.934
vehicle1-5-fold,0.748,0.794,0.793,0.779,0.801,0.793,0.216,0.530,0.455,0.272,0.516,0.492,0.504,0.617,0.630,0.669,0.652,0.618,0.295,0.570,0.526,0.385,0.574,0.544,0.436,0.684,0.639,0.506,0.681,0.659
