Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.664,0.682,0.664,0.682,0.687,0.677,0.053,0.593,0.668,0.401,0.331,0.555,0.600,0.561,0.610,0.724,0.660,0.603,0.097,0.567,0.543,0.433,0.408,0.529,0.176,0.651,0.609,0.510,0.520,0.601
ecoli-0_vs_1-5-fold,0.977,0.973,0.973,0.964,0.959,0.941,0.986,0.986,0.993,0.986,0.964,0.993,0.980,0.973,0.966,0.961,0.974,0.923,0.983,0.979,0.979,0.973,0.967,0.956,0.973,0.966,0.963,0.953,0.954,0.915
wisconsin-5-fold,0.962,0.963,0.956,0.963,0.952,0.952,0.971,0.954,0.929,0.958,0.925,0.933,0.925,0.942,0.946,0.940,0.936,0.931,0.947,0.948,0.936,0.948,0.930,0.931,0.964,0.961,0.949,0.962,0.945,0.947
pima-5-fold,0.618,0.677,0.701,0.723,0.689,0.693,0.515,0.473,0.360,0.500,0.470,0.396,0.515,0.539,0.736,0.697,0.586,0.625,0.461,0.502,0.401,0.503,0.498,0.470,0.548,0.607,0.506,0.593,0.598,0.574
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.701,0.747,0.752,0.678,0.747,0.692,0.543,0.514,0.329,0.114,0.514,0.414,0.740,0.649,0.839,0.356,0.662,0.713,0.484,0.557,0.447,0.164,0.567,0.408,0.563,0.652,0.546,0.241,0.657,0.510
yeast1-5-fold,0.735,0.696,0.695,0.720,0.705,0.733,0.168,0.484,0.458,0.359,0.322,0.266,0.656,0.475,0.575,0.640,0.488,0.583,0.251,0.474,0.428,0.372,0.359,0.342,0.380,0.609,0.534,0.496,0.497,0.466
haberman-5-fold,0.676,0.673,0.739,0.660,0.683,0.735,0.284,0.236,0.086,0.571,0.174,0.298,0.304,0.422,0.393,0.491,0.168,0.560,0.230,0.213,0.138,0.443,0.163,0.355,0.285,0.335,0.216,0.561,0.259,0.494
vehicle2-5-fold,0.856,0.959,0.933,0.865,0.950,0.955,0.564,0.885,0.794,0.518,0.899,0.899,0.840,0.952,0.943,0.924,0.910,0.925,0.653,0.917,0.855,0.661,0.903,0.912,0.723,0.933,0.880,0.712,0.933,0.936
vehicle1-5-fold,0.693,0.747,0.761,0.751,0.768,0.751,0.302,0.456,0.359,0.148,0.443,0.424,0.151,0.516,0.633,0.448,0.553,0.516,0.201,0.480,0.377,0.185,0.482,0.457,0.262,0.619,0.511,0.263,0.613,0.595
vehicle3-5-fold,0.694,0.759,0.771,0.668,0.767,0.712,0.391,0.547,0.457,0.561,0.467,0.280,0.464,0.527,0.454,0.318,0.527,0.394,0.263,0.530,0.447,0.382,0.485,0.301,0.365,0.669,0.551,0.498,0.621,0.458
glass-0-1-2-3_vs_4-5-6-5-fold,0.916,0.907,0.911,0.916,0.944,0.911,0.787,0.747,0.860,0.847,0.822,0.745,0.907,0.876,0.834,0.841,0.930,0.866,0.804,0.786,0.815,0.825,0.871,0.797,0.853,0.838,0.882,0.886,0.897,0.845
vehicle0-5-fold,0.873,0.947,0.923,0.851,0.949,0.949,0.780,0.864,0.775,0.489,0.879,0.879,0.779,0.918,0.903,0.864,0.906,0.906,0.731,0.884,0.808,0.542,0.891,0.890,0.822,0.915,0.855,0.640,0.923,0.923
