Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.776,0.720,0.753,0.785,0.757,0.776,0.541,0.543,0.593,0.607,0.578,0.593,0.769,0.625,0.683,0.743,0.692,0.729,0.631,0.573,0.632,0.662,0.629,0.654,0.697,0.658,0.705,0.728,0.703,0.721
ecoli-0_vs_1-5-fold,0.973,0.968,0.982,0.973,0.968,0.964,0.979,0.965,0.986,0.986,0.972,0.986,0.980,0.986,0.987,0.973,0.980,0.961,0.979,0.975,0.986,0.979,0.975,0.973,0.969,0.969,0.979,0.966,0.966,0.952
wisconsin-5-fold,0.960,0.947,0.962,0.958,0.959,0.956,0.954,0.916,0.950,0.946,0.950,0.925,0.935,0.933,0.943,0.935,0.934,0.950,0.944,0.924,0.946,0.940,0.942,0.936,0.959,0.940,0.959,0.955,0.957,0.948
pima-5-fold,0.723,0.754,0.738,0.737,0.743,0.732,0.560,0.638,0.623,0.608,0.634,0.589,0.619,0.653,0.624,0.629,0.633,0.623,0.586,0.641,0.623,0.616,0.632,0.603,0.673,0.718,0.705,0.698,0.712,0.688
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,0.993,1.000,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,1.000,1.000,1.000,1.000,1.000,0.990
glass0-5-fold,0.752,0.818,0.795,0.785,0.794,0.818,0.657,0.757,0.729,0.714,0.743,0.757,0.611,0.705,0.676,0.665,0.668,0.712,0.632,0.728,0.698,0.686,0.702,0.731,0.722,0.799,0.773,0.764,0.779,0.800
yeast1-5-fold,0.745,0.732,0.751,0.744,0.734,0.750,0.492,0.487,0.492,0.503,0.487,0.499,0.568,0.540,0.583,0.563,0.545,0.583,0.526,0.511,0.532,0.531,0.513,0.536,0.644,0.636,0.648,0.649,0.637,0.651
haberman-5-fold,0.693,0.660,0.673,0.683,0.683,0.716,0.272,0.233,0.285,0.198,0.321,0.357,0.386,0.306,0.364,0.332,0.387,0.468,0.316,0.263,0.318,0.245,0.347,0.403,0.475,0.429,0.479,0.401,0.507,0.547
vehicle2-5-fold,0.931,0.969,0.957,0.941,0.968,0.956,0.890,0.949,0.950,0.904,0.945,0.936,0.854,0.933,0.894,0.872,0.932,0.899,0.870,0.941,0.920,0.887,0.938,0.917,0.917,0.963,0.955,0.928,0.960,0.949
vehicle1-5-fold,0.728,0.780,0.782,0.755,0.770,0.794,0.409,0.580,0.562,0.424,0.572,0.576,0.464,0.573,0.582,0.528,0.549,0.606,0.433,0.574,0.570,0.469,0.558,0.585,0.582,0.700,0.693,0.606,0.690,0.703
vehicle3-5-fold,0.749,0.798,0.805,0.773,0.791,0.801,0.345,0.552,0.576,0.430,0.548,0.566,0.506,0.608,0.620,0.565,0.589,0.615,0.410,0.578,0.596,0.485,0.567,0.589,0.551,0.697,0.712,0.615,0.690,0.706
glass-0-1-2-3_vs_4-5-6-5-fold,0.921,0.921,0.939,0.944,0.935,0.944,0.842,0.824,0.882,0.862,0.844,0.844,0.841,0.851,0.874,0.903,0.887,0.930,0.834,0.833,0.875,0.879,0.860,0.879,0.889,0.884,0.918,0.913,0.900,0.906
vehicle0-5-fold,0.956,0.970,0.962,0.934,0.963,0.957,0.924,0.934,0.930,0.864,0.929,0.909,0.894,0.941,0.913,0.858,0.919,0.910,0.909,0.937,0.921,0.860,0.923,0.910,0.945,0.958,0.951,0.908,0.951,0.940
ecoli1-5-fold,0.908,0.905,0.890,0.911,0.860,0.887,0.767,0.779,0.741,0.805,0.713,0.702,0.833,0.810,0.786,0.816,0.702,0.793,0.792,0.788,0.757,0.806,0.701,0.741,0.851,0.854,0.830,0.869,0.800,0.811
new-thyroid1-5-fold,0.981,0.986,0.995,0.972,0.981,0.977,0.943,0.971,1.000,0.943,0.943,0.971,0.950,0.950,0.975,0.902,0.956,0.900,0.943,0.958,0.987,0.918,0.944,0.933,0.965,0.980,0.997,0.959,0.965,0.974
