Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.776,0.743,0.748,0.781,0.739,0.813,0.541,0.583,0.566,0.568,0.500,0.634,0.769,0.649,0.678,0.775,0.707,0.802,0.631,0.610,0.616,0.641,0.575,0.703,0.697,0.690,0.693,0.707,0.656,0.757
ecoli-0_vs_1-5-fold,0.982,0.968,0.982,0.968,0.968,0.955,0.986,0.965,0.986,0.979,0.972,0.986,0.986,0.986,0.987,0.973,0.980,0.948,0.986,0.975,0.986,0.976,0.976,0.966,0.979,0.969,0.979,0.962,0.965,0.938
wisconsin-5-fold,0.953,0.950,0.959,0.963,0.956,0.952,0.942,0.925,0.950,0.963,0.937,0.929,0.926,0.933,0.935,0.935,0.938,0.935,0.933,0.928,0.942,0.948,0.937,0.930,0.950,0.944,0.957,0.963,0.951,0.946
pima-5-fold,0.717,0.721,0.738,0.737,0.745,0.733,0.545,0.577,0.608,0.627,0.626,0.601,0.608,0.604,0.633,0.623,0.636,0.622,0.574,0.585,0.617,0.622,0.629,0.610,0.664,0.674,0.699,0.703,0.709,0.694
iris0-5-fold,1.000,1.000,0.993,1.000,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,1.000,1.000,1.000,1.000,1.000,0.990,1.000,1.000,1.000
glass0-5-fold,0.752,0.795,0.781,0.785,0.771,0.799,0.657,0.729,0.700,0.714,0.714,0.743,0.611,0.677,0.658,0.661,0.653,0.681,0.632,0.697,0.676,0.684,0.676,0.706,0.722,0.773,0.755,0.762,0.752,0.781
yeast1-5-fold,0.745,0.734,0.745,0.743,0.735,0.746,0.499,0.482,0.492,0.487,0.490,0.492,0.567,0.545,0.570,0.566,0.550,0.575,0.530,0.511,0.527,0.522,0.517,0.528,0.648,0.635,0.645,0.641,0.639,0.645
haberman-5-fold,0.709,0.673,0.667,0.680,0.693,0.702,0.309,0.308,0.272,0.222,0.371,0.320,0.427,0.363,0.349,0.359,0.410,0.439,0.356,0.333,0.303,0.270,0.385,0.368,0.509,0.494,0.463,0.432,0.542,0.517
vehicle2-5-fold,0.933,0.967,0.959,0.943,0.972,0.957,0.890,0.950,0.940,0.904,0.968,0.931,0.857,0.925,0.904,0.881,0.926,0.907,0.872,0.937,0.921,0.891,0.946,0.919,0.918,0.961,0.952,0.930,0.970,0.949
vehicle1-5-fold,0.727,0.782,0.772,0.762,0.775,0.797,0.391,0.576,0.534,0.465,0.567,0.585,0.462,0.578,0.562,0.544,0.561,0.606,0.420,0.573,0.545,0.499,0.562,0.590,0.568,0.698,0.674,0.632,0.691,0.709
