Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.813,0.823,0.813,0.818,0.818,0.813,0.648,0.661,0.648,0.648,0.648,0.661,0.797,0.808,0.797,0.807,0.807,0.789,0.710,0.725,0.710,0.715,0.715,0.714,0.763,0.774,0.763,0.766,0.766,0.767
ecoli-0_vs_1-5-fold,0.991,0.991,0.991,0.991,0.991,0.986,1.000,1.000,1.000,1.000,1.000,1.000,0.987,0.987,0.987,0.987,0.987,0.980,0.993,0.993,0.993,0.993,0.993,0.990,0.986,0.986,0.986,0.986,0.986,0.979
wisconsin-5-fold,0.965,0.966,0.969,0.965,0.965,0.971,0.954,0.958,0.967,0.954,0.954,0.971,0.947,0.947,0.947,0.947,0.947,0.948,0.950,0.952,0.957,0.950,0.950,0.959,0.962,0.964,0.969,0.962,0.962,0.971
pima-5-fold,0.763,0.763,0.764,0.766,0.764,0.768,0.593,0.593,0.593,0.597,0.597,0.597,0.686,0.686,0.689,0.691,0.687,0.697,0.636,0.636,0.637,0.640,0.638,0.642,0.711,0.711,0.712,0.714,0.713,0.716
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.869,0.869,0.869,0.869,0.869,0.860,0.771,0.771,0.771,0.771,0.771,0.757,0.818,0.818,0.818,0.818,0.818,0.805,0.792,0.792,0.792,0.792,0.792,0.779,0.840,0.840,0.840,0.840,0.840,0.829
yeast1-5-fold,0.786,0.786,0.784,0.786,0.784,0.785,0.496,0.497,0.489,0.496,0.494,0.492,0.682,0.683,0.679,0.684,0.678,0.680,0.572,0.573,0.567,0.573,0.570,0.569,0.669,0.669,0.664,0.669,0.667,0.666
haberman-5-fold,0.686,0.686,0.680,0.686,0.686,0.680,0.259,0.259,0.258,0.284,0.259,0.271,0.364,0.366,0.345,0.374,0.364,0.358,0.298,0.300,0.293,0.319,0.298,0.306,0.451,0.452,0.449,0.478,0.451,0.466
vehicle2-5-fold,0.987,0.987,0.987,0.987,0.986,0.987,0.968,0.973,0.968,0.968,0.968,0.968,0.982,0.977,0.982,0.982,0.977,0.982,0.974,0.975,0.974,0.974,0.972,0.974,0.981,0.982,0.981,0.981,0.980,0.981
vehicle1-5-fold,0.773,0.772,0.773,0.774,0.772,0.772,0.438,0.438,0.438,0.442,0.433,0.433,0.578,0.574,0.578,0.579,0.575,0.572,0.497,0.495,0.497,0.500,0.493,0.491,0.622,0.622,0.622,0.625,0.619,0.618
