Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.818,0.818,0.818,0.818,0.818,0.818,0.713,0.713,0.713,0.713,0.713,0.713,0.759,0.759,0.759,0.759,0.759,0.759,0.734,0.734,0.734,0.734,0.734,0.734,0.789,0.789,0.789,0.789,0.789,0.789
ecoli-0_vs_1-5-fold,0.977,0.977,0.977,0.977,0.977,0.977,0.979,0.979,0.979,0.979,0.979,0.979,0.987,0.987,0.987,0.987,0.987,0.987,0.982,0.982,0.982,0.982,0.982,0.982,0.976,0.976,0.976,0.976,0.976,0.976
wisconsin-5-fold,0.968,0.968,0.968,0.968,0.968,0.968,0.958,0.958,0.958,0.958,0.958,0.958,0.951,0.951,0.951,0.951,0.951,0.951,0.954,0.954,0.954,0.954,0.954,0.954,0.965,0.965,0.965,0.965,0.965,0.965
pima-5-fold,0.745,0.746,0.743,0.743,0.743,0.745,0.604,0.608,0.600,0.600,0.600,0.608,0.645,0.646,0.644,0.644,0.644,0.644,0.622,0.625,0.619,0.619,0.619,0.623,0.702,0.705,0.700,0.700,0.700,0.704
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,0.987,1.000,1.000,1.000,1.000,1.000,0.960,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.978,1.000,1.000,1.000,1.000,1.000,0.979
glass0-5-fold,0.827,0.827,0.827,0.827,0.827,0.832,0.700,0.700,0.700,0.700,0.700,0.700,0.756,0.756,0.756,0.756,0.756,0.770,0.722,0.722,0.722,0.722,0.722,0.727,0.785,0.785,0.785,0.785,0.785,0.788
yeast1-5-fold,0.755,0.757,0.755,0.755,0.756,0.757,0.487,0.489,0.485,0.487,0.489,0.489,0.595,0.598,0.594,0.595,0.596,0.597,0.534,0.537,0.532,0.534,0.536,0.537,0.648,0.650,0.646,0.648,0.650,0.650
haberman-5-fold,0.663,0.667,0.663,0.663,0.667,0.663,0.259,0.271,0.259,0.259,0.271,0.259,0.330,0.338,0.330,0.330,0.338,0.330,0.289,0.300,0.289,0.289,0.300,0.289,0.451,0.460,0.451,0.451,0.460,0.451
vehicle2-5-fold,0.983,0.983,0.983,0.983,0.983,0.982,0.968,0.968,0.968,0.968,0.968,0.964,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.965,0.978,0.978,0.978,0.978,0.978,0.976
vehicle1-5-fold,0.793,0.793,0.792,0.792,0.792,0.793,0.538,0.538,0.534,0.534,0.534,0.538,0.609,0.609,0.607,0.607,0.607,0.609,0.571,0.571,0.567,0.567,0.567,0.571,0.687,0.687,0.684,0.684,0.684,0.687
