Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.762,0.762,0.762,0.762,0.762,0.762,0.604,0.604,0.604,0.604,0.604,0.617,0.704,0.704,0.704,0.704,0.704,0.701,0.643,0.643,0.643,0.643,0.643,0.649,0.713,0.713,0.713,0.713,0.713,0.718
ecoli-0_vs_1-5-fold,0.977,0.977,0.977,0.977,0.977,0.977,0.979,0.979,0.979,0.979,0.979,0.979,0.987,0.987,0.987,0.987,0.987,0.987,0.982,0.982,0.982,0.982,0.982,0.982,0.975,0.975,0.975,0.975,0.975,0.975
wisconsin-5-fold,0.941,0.943,0.943,0.941,0.943,0.940,0.904,0.908,0.908,0.904,0.908,0.912,0.927,0.927,0.927,0.927,0.927,0.917,0.915,0.917,0.917,0.915,0.917,0.914,0.932,0.934,0.934,0.932,0.934,0.933
pima-5-fold,0.711,0.710,0.708,0.708,0.710,0.708,0.586,0.586,0.578,0.578,0.586,0.586,0.585,0.583,0.582,0.582,0.583,0.582,0.582,0.581,0.577,0.577,0.581,0.582,0.672,0.671,0.668,0.668,0.671,0.671
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.813,0.813,0.813,0.813,0.813,0.808,0.743,0.743,0.743,0.743,0.743,0.729,0.702,0.702,0.702,0.702,0.702,0.699,0.721,0.721,0.721,0.721,0.721,0.708,0.792,0.792,0.792,0.792,0.792,0.781
yeast1-5-fold,0.722,0.726,0.722,0.722,0.724,0.720,0.520,0.524,0.517,0.517,0.520,0.515,0.523,0.530,0.523,0.522,0.526,0.520,0.519,0.525,0.518,0.517,0.520,0.515,0.645,0.649,0.644,0.643,0.645,0.641
haberman-5-fold,0.654,0.644,0.650,0.654,0.654,0.657,0.346,0.334,0.346,0.346,0.346,0.359,0.344,0.328,0.340,0.344,0.344,0.353,0.345,0.330,0.342,0.345,0.345,0.355,0.512,0.500,0.511,0.512,0.512,0.522
vehicle2-5-fold,0.950,0.952,0.948,0.950,0.948,0.950,0.918,0.923,0.918,0.918,0.918,0.923,0.895,0.895,0.888,0.895,0.888,0.892,0.905,0.907,0.901,0.905,0.901,0.905,0.939,0.941,0.938,0.939,0.938,0.941
vehicle1-5-fold,0.744,0.745,0.742,0.744,0.745,0.744,0.484,0.488,0.484,0.488,0.484,0.484,0.500,0.502,0.498,0.500,0.502,0.500,0.491,0.494,0.490,0.493,0.492,0.491,0.634,0.637,0.633,0.636,0.634,0.634
vehicle3-5-fold,0.735,0.736,0.734,0.735,0.733,0.735,0.481,0.477,0.477,0.486,0.477,0.481,0.472,0.474,0.470,0.472,0.467,0.472,0.476,0.475,0.473,0.479,0.472,0.476,0.628,0.626,0.625,0.630,0.624,0.628
glass-0-1-2-3_vs_4-5-6-5-fold,0.939,0.939,0.939,0.939,0.939,0.921,0.880,0.880,0.880,0.880,0.880,0.802,0.870,0.870,0.870,0.870,0.870,0.861,0.873,0.873,0.873,0.873,0.873,0.828,0.917,0.917,0.917,0.917,0.917,0.875
vehicle0-5-fold,0.943,0.948,0.943,0.943,0.944,0.941,0.884,0.904,0.884,0.884,0.889,0.884,0.877,0.881,0.879,0.877,0.878,0.869,0.879,0.891,0.879,0.879,0.882,0.875,0.921,0.932,0.921,0.921,0.924,0.920
ecoli1-5-fold,0.890,0.890,0.893,0.893,0.893,0.887,0.739,0.752,0.752,0.752,0.752,0.739,0.773,0.768,0.776,0.776,0.776,0.764,0.754,0.757,0.762,0.762,0.762,0.749,0.830,0.835,0.837,0.837,0.837,0.828
new-thyroid1-5-fold,0.967,0.963,0.967,0.963,0.967,0.958,0.886,0.886,0.914,0.857,0.886,0.829,0.931,0.897,0.897,0.931,0.931,0.931,0.892,0.882,0.900,0.874,0.892,0.858,0.928,0.927,0.943,0.912,0.928,0.897
ecoli2-5-fold,0.902,0.899,0.899,0.902,0.902,0.908,0.735,0.733,0.735,0.735,0.735,0.793,0.676,0.668,0.668,0.676,0.676,0.683,0.698,0.694,0.693,0.698,0.698,0.726,0.826,0.824,0.825,0.826,0.826,0.856
segment0-5-fold,0.994,0.994,0.994,0.994,0.994,0.994,0.976,0.976,0.976,0.976,0.976,0.976,0.979,0.979,0.979,0.979,0.979,0.979,0.977,0.977,0.977,0.977,0.977,0.977,0.986,0.986,0.986,0.986,0.986,0.986
glass6-5-fold,0.911,0.911,0.911,0.911,0.911,0.911,0.653,0.653,0.653,0.653,0.653,0.653,0.688,0.688,0.688,0.688,0.688,0.688,0.662,0.662,0.662,0.662,0.662,0.662,0.785,0.785,0.785,0.785,0.785,0.785
yeast3-5-fold,0.933,0.933,0.934,0.933,0.934,0.933,0.693,0.687,0.705,0.693,0.699,0.693,0.693,0.701,0.697,0.698,0.700,0.694,0.691,0.692,0.699,0.693,0.698,0.692,0.815,0.812,0.822,0.815,0.819,0.815
ecoli3-5-fold,0.890,0.890,0.893,0.890,0.893,0.893,0.514,0.514,0.514,0.514,0.514,0.571,0.497,0.497,0.511,0.497,0.511,0.499,0.491,0.491,0.498,0.491,0.498,0.526,0.685,0.685,0.686,0.685,0.686,0.724
page-blocks0-5-fold,0.966,0.966,0.967,0.966,0.967,0.967,0.834,0.834,0.835,0.834,0.837,0.835,0.837,0.834,0.838,0.837,0.841,0.837,0.835,0.834,0.836,0.835,0.839,0.836,0.905,0.904,0.905,0.905,0.907,0.905
