Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.645,0.645,0.645,0.645,0.645,0.645,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0_vs_1-5-fold,0.964,0.955,0.964,0.964,0.950,0.927,1.000,1.000,1.000,1.000,1.000,0.993,0.948,0.935,0.948,0.948,0.929,0.907,0.973,0.966,0.973,0.973,0.963,0.947,0.946,0.932,0.946,0.946,0.925,0.891
wisconsin-5-fold,0.966,0.971,0.966,0.966,0.960,0.960,0.941,0.962,0.941,0.941,0.937,0.975,0.962,0.955,0.962,0.962,0.949,0.918,0.951,0.958,0.951,0.951,0.943,0.945,0.960,0.969,0.960,0.960,0.955,0.964
pima-5-fold,0.669,0.736,0.733,0.728,0.734,0.651,0.176,0.354,0.351,0.317,0.328,0.000,0.625,0.761,0.752,0.764,0.785,0.000,0.265,0.482,0.478,0.448,0.462,0.000,0.399,0.576,0.573,0.547,0.557,0.000
iris0-5-fold,1.000,1.000,1.000,1.000,0.993,1.000,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,1.000,1.000,1.000,1.000,1.000,0.990,1.000
glass0-5-fold,0.673,0.673,0.673,0.673,0.673,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yeast1-5-fold,0.711,0.711,0.711,0.711,0.723,0.711,0.000,0.000,0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.566,0.000,0.000,0.000,0.000,0.000,0.139,0.000,0.000,0.000,0.000,0.000,0.249,0.000
haberman-5-fold,0.735,0.735,0.735,0.722,0.732,0.735,0.000,0.000,0.000,0.037,0.175,0.000,0.000,0.000,0.000,0.133,0.378,0.000,0.000,0.000,0.000,0.057,0.234,0.000,0.000,0.000,0.000,0.116,0.344,0.000
vehicle2-5-fold,0.742,0.742,0.742,0.742,0.742,0.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
vehicle1-5-fold,0.744,0.744,0.744,0.744,0.744,0.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
vehicle3-5-fold,0.749,0.749,0.749,0.749,0.749,0.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
glass-0-1-2-3_vs_4-5-6-5-fold,0.883,0.883,0.902,0.897,0.897,0.865,0.727,0.527,0.767,0.767,0.567,0.467,0.792,0.975,0.834,0.823,1.000,0.925,0.743,0.678,0.786,0.778,0.713,0.614,0.817,0.721,0.847,0.843,0.746,0.674
vehicle0-5-fold,0.765,0.765,0.765,0.765,0.765,0.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
