Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.603,0.603,0.603,0.603,0.603,0.584,0.907,0.907,0.907,0.907,0.907,0.816,0.469,0.469,0.469,0.469,0.469,0.454,0.619,0.619,0.619,0.619,0.619,0.582,0.627,0.627,0.627,0.627,0.627,0.604
ecoli-0_vs_1-5-fold,0.945,0.927,0.932,0.945,0.945,0.741,0.986,0.986,0.986,0.986,0.986,1.000,0.935,0.914,0.919,0.935,0.935,0.727,0.959,0.947,0.950,0.959,0.959,0.838,0.925,0.894,0.902,0.925,0.925,0.452
wisconsin-5-fold,0.965,0.965,0.965,0.965,0.965,0.956,0.983,0.983,0.983,0.983,0.983,0.996,0.922,0.922,0.922,0.922,0.922,0.892,0.952,0.952,0.952,0.952,0.952,0.941,0.969,0.969,0.969,0.969,0.969,0.965
pima-5-fold,0.756,0.756,0.756,0.756,0.756,0.762,0.601,0.601,0.601,0.601,0.601,0.701,0.669,0.669,0.669,0.669,0.669,0.648,0.632,0.632,0.632,0.632,0.632,0.672,0.710,0.710,0.710,0.710,0.710,0.745
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.631,0.631,0.631,0.631,0.631,0.654,0.900,0.900,0.900,0.900,0.900,0.871,0.467,0.467,0.467,0.467,0.467,0.485,0.614,0.614,0.614,0.614,0.614,0.622,0.670,0.670,0.670,0.670,0.670,0.690
yeast1-5-fold,0.321,0.317,0.320,0.320,0.343,0.305,0.991,0.991,0.991,0.991,0.988,0.993,0.297,0.296,0.297,0.297,0.304,0.293,0.458,0.456,0.457,0.457,0.465,0.452,0.215,0.203,0.213,0.213,0.278,0.153
haberman-5-fold,0.752,0.752,0.752,0.752,0.752,0.709,0.196,0.196,0.196,0.196,0.196,0.099,0.570,0.570,0.570,0.570,0.570,0.345,0.290,0.290,0.290,0.290,0.290,0.148,0.419,0.419,0.419,0.419,0.419,0.294
vehicle2-5-fold,0.803,0.803,0.803,0.803,0.803,0.870,0.523,0.523,0.523,0.523,0.523,0.757,0.653,0.653,0.653,0.653,0.653,0.745,0.579,0.579,0.579,0.579,0.579,0.750,0.686,0.686,0.686,0.686,0.686,0.829
vehicle1-5-fold,0.686,0.686,0.686,0.686,0.686,0.712,0.635,0.635,0.635,0.635,0.635,0.645,0.424,0.424,0.424,0.424,0.424,0.457,0.508,0.508,0.508,0.508,0.508,0.534,0.666,0.666,0.666,0.666,0.666,0.688
vehicle3-5-fold,0.695,0.695,0.695,0.695,0.695,0.714,0.622,0.622,0.622,0.622,0.622,0.594,0.426,0.426,0.426,0.426,0.426,0.447,0.505,0.505,0.505,0.505,0.505,0.510,0.668,0.668,0.668,0.668,0.668,0.669
glass-0-1-2-3_vs_4-5-6-5-fold,0.902,0.902,0.902,0.902,0.902,0.911,0.805,0.805,0.805,0.805,0.805,0.882,0.795,0.795,0.795,0.795,0.795,0.784,0.790,0.790,0.790,0.790,0.790,0.824,0.860,0.860,0.860,0.860,0.860,0.899
vehicle0-5-fold,0.657,0.657,0.657,0.657,0.657,0.710,0.869,0.869,0.869,0.869,0.869,0.678,0.397,0.397,0.397,0.397,0.397,0.427,0.544,0.544,0.544,0.544,0.544,0.521,0.715,0.715,0.715,0.715,0.715,0.694
ecoli1-5-fold,0.653,0.575,0.623,0.658,0.718,0.393,0.948,0.948,0.948,0.948,0.948,0.948,0.424,0.378,0.404,0.426,0.468,0.313,0.574,0.525,0.553,0.577,0.618,0.447,0.713,0.639,0.687,0.721,0.776,0.370
new-thyroid1-5-fold,0.972,0.972,0.972,0.972,0.972,0.981,1.000,1.000,1.000,1.000,1.000,0.971,0.871,0.871,0.871,0.871,0.871,0.925,0.926,0.926,0.926,0.926,0.926,0.945,0.983,0.983,0.983,0.983,0.983,0.977
ecoli2-5-fold,0.351,0.328,0.336,0.351,0.411,0.310,1.000,1.000,1.000,1.000,1.000,1.000,0.197,0.191,0.193,0.197,0.216,0.185,0.328,0.320,0.323,0.328,0.353,0.312,0.465,0.434,0.445,0.465,0.532,0.415
segment0-5-fold,0.831,0.831,0.831,0.831,0.831,0.986,0.982,0.982,0.982,0.982,0.982,0.976,0.457,0.457,0.457,0.457,0.457,0.928,0.623,0.623,0.623,0.623,0.623,0.951,0.889,0.889,0.889,0.889,0.889,0.981
glass6-5-fold,0.944,0.944,0.944,0.944,0.944,0.944,0.820,0.820,0.820,0.820,0.820,0.867,0.776,0.776,0.776,0.776,0.776,0.787,0.796,0.796,0.796,0.796,0.796,0.815,0.886,0.886,0.886,0.886,0.886,0.910
yeast3-5-fold,0.311,0.293,0.308,0.307,0.431,0.225,0.982,0.982,0.982,0.982,0.976,0.994,0.137,0.133,0.136,0.136,0.163,0.124,0.240,0.235,0.239,0.239,0.278,0.221,0.462,0.439,0.459,0.458,0.584,0.346
ecoli3-5-fold,0.771,0.750,0.765,0.771,0.792,0.583,0.943,0.943,0.943,0.943,0.943,0.886,0.313,0.297,0.309,0.313,0.331,0.215,0.468,0.448,0.462,0.468,0.488,0.333,0.839,0.826,0.836,0.839,0.852,0.684
page-blocks0-5-fold,0.901,0.902,0.902,0.902,0.902,0.918,0.424,0.454,0.454,0.454,0.454,0.723,0.516,0.521,0.521,0.521,0.521,0.580,0.465,0.485,0.485,0.485,0.485,0.643,0.635,0.657,0.657,0.657,0.657,0.824
ecoli-0-3-4_vs_5-5-fold,0.750,0.440,0.520,0.530,0.650,0.440,0.900,0.900,0.900,0.900,0.900,0.850,0.362,0.252,0.267,0.268,0.303,0.231,0.484,0.340,0.362,0.364,0.413,0.287,0.804,0.534,0.625,0.636,0.736,0.513
yeast-2_vs_4-5-fold,0.239,0.185,0.226,0.216,0.521,0.171,0.962,0.982,0.962,0.962,0.922,0.982,0.112,0.107,0.110,0.109,0.163,0.105,0.201,0.193,0.198,0.196,0.277,0.190,0.389,0.307,0.369,0.354,0.662,0.278
ecoli-0-6-7_vs_3-5-5-fold,0.883,0.883,0.883,0.883,0.883,0.887,0.040,0.040,0.040,0.040,0.040,0.080,0.100,0.100,0.100,0.100,0.100,0.300,0.057,0.057,0.057,0.057,0.057,0.124,0.088,0.088,0.088,0.088,0.088,0.178
ecoli-0-2-3-4_vs_5-5-fold,0.677,0.315,0.365,0.385,0.568,0.399,0.850,0.850,0.850,0.850,0.850,0.850,0.253,0.161,0.168,0.170,0.207,0.192,0.369,0.236,0.246,0.250,0.307,0.263,0.731,0.341,0.425,0.461,0.650,0.472
glass-0-1-5_vs_2-5-fold,0.452,0.446,0.452,0.452,0.452,0.678,0.600,0.600,0.600,0.600,0.600,0.383,0.113,0.112,0.113,0.113,0.113,0.153,0.185,0.184,0.185,0.185,0.185,0.197,0.491,0.483,0.491,0.491,0.491,0.380
yeast-0-3-5-9_vs_7-8-5-fold,0.202,0.178,0.192,0.202,0.263,0.132,1.000,1.000,1.000,1.000,0.960,1.000,0.110,0.107,0.109,0.110,0.114,0.102,0.198,0.194,0.197,0.198,0.205,0.186,0.337,0.294,0.320,0.337,0.422,0.188
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.915,0.915,0.915,0.915,0.915,0.913,0.364,0.364,0.364,0.364,0.364,0.243,0.623,0.623,0.623,0.623,0.623,0.666,0.459,0.459,0.459,0.459,0.459,0.355,0.592,0.592,0.592,0.592,0.592,0.483
ecoli-0-4-6_vs_5-5-fold,0.897,0.892,0.888,0.888,0.892,0.887,0.800,0.850,0.800,0.800,0.850,0.800,0.649,0.655,0.645,0.645,0.655,0.681,0.691,0.704,0.687,0.687,0.704,0.686,0.850,0.870,0.845,0.845,0.870,0.838
ecoli-0-1_vs_2-3-5-5-fold,0.926,0.926,0.926,0.926,0.926,0.930,0.280,0.280,0.280,0.280,0.280,0.320,0.500,0.500,0.500,0.500,0.500,0.700,0.324,0.324,0.324,0.324,0.324,0.416,0.378,0.378,0.378,0.378,0.378,0.483
