Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.804,0.795,0.804,0.771,0.734,0.781,0.648,0.647,0.673,0.621,0.593,0.622,0.777,0.742,0.759,0.721,0.637,0.743,0.695,0.689,0.707,0.654,0.614,0.663,0.753,0.751,0.765,0.721,0.694,0.728
ecoli-0_vs_1-5-fold,0.986,0.986,0.986,0.986,0.986,0.973,0.993,0.993,0.993,0.993,0.993,0.986,0.987,0.987,0.987,0.987,0.987,0.974,0.990,0.990,0.990,0.990,0.990,0.979,0.983,0.983,0.983,0.983,0.983,0.965
wisconsin-5-fold,0.969,0.969,0.969,0.969,0.969,0.965,0.958,0.958,0.958,0.958,0.958,0.963,0.954,0.954,0.954,0.954,0.954,0.940,0.956,0.956,0.956,0.956,0.956,0.950,0.967,0.967,0.967,0.967,0.967,0.964
pima-5-fold,0.767,0.771,0.773,0.771,0.767,0.759,0.563,0.586,0.589,0.589,0.574,0.563,0.712,0.711,0.715,0.709,0.707,0.692,0.628,0.640,0.644,0.641,0.631,0.620,0.702,0.713,0.716,0.713,0.706,0.697
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
glass0-5-fold,0.771,0.790,0.767,0.748,0.771,0.748,0.600,0.629,0.600,0.514,0.600,0.500,0.676,0.715,0.662,0.663,0.674,0.671,0.630,0.665,0.623,0.570,0.630,0.565,0.713,0.738,0.709,0.661,0.713,0.656
yeast1-5-fold,0.771,0.772,0.774,0.772,0.769,0.785,0.441,0.436,0.438,0.438,0.441,0.492,0.654,0.661,0.665,0.661,0.648,0.679,0.526,0.523,0.527,0.526,0.523,0.569,0.631,0.628,0.631,0.630,0.629,0.666
haberman-5-fold,0.735,0.742,0.732,0.725,0.719,0.712,0.000,0.258,0.174,0.234,0.235,0.085,0.000,0.523,0.487,0.461,0.428,0.364,0.000,0.345,0.253,0.310,0.299,0.131,0.000,0.479,0.398,0.454,0.447,0.241
vehicle2-5-fold,0.960,0.983,0.989,0.982,0.976,0.974,0.913,0.959,0.968,0.959,0.959,0.959,0.930,0.977,0.990,0.973,0.950,0.942,0.921,0.967,0.979,0.965,0.954,0.950,0.944,0.975,0.982,0.974,0.970,0.969
vehicle1-5-fold,0.805,0.864,0.864,0.816,0.866,0.842,0.593,0.709,0.704,0.561,0.714,0.631,0.620,0.745,0.749,0.666,0.752,0.713,0.603,0.724,0.723,0.608,0.731,0.666,0.713,0.804,0.801,0.710,0.808,0.755
