Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.786,0.771,0.786,0.780,0.767,0.804,0.647,0.620,0.620,0.606,0.607,0.594,0.722,0.705,0.730,0.735,0.698,0.816,0.677,0.659,0.668,0.662,0.649,0.679,0.743,0.727,0.735,0.728,0.719,0.736
ecoli-0_vs_1-5-fold,0.986,0.964,0.973,0.973,0.968,0.945,1.000,1.000,1.000,1.000,1.000,0.993,0.980,0.949,0.962,0.962,0.955,0.930,0.990,0.973,0.980,0.980,0.977,0.960,0.979,0.945,0.958,0.958,0.952,0.920
wisconsin-5-fold,0.972,0.966,0.972,0.972,0.965,0.946,0.967,0.954,0.967,0.967,0.967,0.933,0.955,0.950,0.955,0.955,0.936,0.915,0.961,0.952,0.961,0.961,0.951,0.923,0.971,0.963,0.971,0.971,0.965,0.942
pima-5-fold,0.721,0.742,0.745,0.737,0.742,0.738,0.530,0.548,0.563,0.552,0.537,0.522,0.619,0.656,0.657,0.642,0.662,0.657,0.570,0.597,0.604,0.593,0.592,0.582,0.660,0.680,0.687,0.678,0.676,0.667
iris0-5-fold,1.000,1.000,1.000,1.000,0.993,0.993,1.000,1.000,1.000,1.000,0.980,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,0.989,1.000,1.000,1.000,1.000,0.990,0.990
glass0-5-fold,0.762,0.813,0.827,0.767,0.785,0.785,0.671,0.814,0.829,0.686,0.771,0.700,0.623,0.685,0.699,0.634,0.643,0.662,0.642,0.741,0.757,0.657,0.701,0.680,0.730,0.812,0.826,0.742,0.781,0.760
yeast1-5-fold,0.739,0.748,0.742,0.743,0.744,0.738,0.436,0.441,0.424,0.441,0.443,0.440,0.562,0.583,0.572,0.570,0.573,0.564,0.490,0.501,0.487,0.497,0.499,0.492,0.612,0.618,0.607,0.616,0.619,0.614
haberman-5-fold,0.703,0.676,0.667,0.709,0.683,0.693,0.222,0.234,0.149,0.235,0.247,0.161,0.402,0.347,0.288,0.417,0.372,0.352,0.285,0.278,0.193,0.299,0.288,0.219,0.438,0.440,0.354,0.454,0.448,0.368
vehicle2-5-fold,0.895,0.968,0.956,0.921,0.967,0.946,0.734,0.954,0.927,0.835,0.945,0.904,0.844,0.925,0.908,0.859,0.928,0.892,0.782,0.939,0.916,0.845,0.936,0.896,0.835,0.963,0.946,0.891,0.959,0.931
vehicle1-5-fold,0.719,0.752,0.743,0.746,0.746,0.749,0.378,0.480,0.433,0.414,0.452,0.447,0.443,0.517,0.499,0.506,0.500,0.517,0.405,0.496,0.462,0.454,0.472,0.476,0.559,0.636,0.604,0.595,0.614,0.616
vehicle3-5-fold,0.749,0.788,0.792,0.764,0.786,0.765,0.288,0.430,0.411,0.402,0.439,0.387,0.518,0.616,0.635,0.539,0.609,0.555,0.362,0.503,0.496,0.453,0.507,0.451,0.506,0.622,0.613,0.591,0.628,0.585
glass-0-1-2-3_vs_4-5-6-5-fold,0.916,0.925,0.921,0.935,0.911,0.916,0.784,0.764,0.805,0.842,0.724,0.804,0.864,0.913,0.869,0.881,0.881,0.836,0.816,0.826,0.826,0.858,0.789,0.819,0.865,0.861,0.874,0.899,0.834,0.873
vehicle0-5-fold,0.929,0.943,0.936,0.900,0.947,0.934,0.880,0.870,0.845,0.749,0.880,0.849,0.830,0.887,0.879,0.811,0.892,0.868,0.854,0.877,0.861,0.776,0.885,0.858,0.911,0.916,0.902,0.840,0.922,0.903
ecoli1-5-fold,0.929,0.917,0.926,0.923,0.911,0.926,0.766,0.765,0.752,0.752,0.777,0.791,0.917,0.860,0.908,0.908,0.848,0.872,0.830,0.806,0.820,0.817,0.803,0.826,0.863,0.856,0.856,0.854,0.857,0.871
new-thyroid1-5-fold,0.953,0.967,0.967,0.981,0.981,0.949,0.743,0.829,0.829,0.943,0.914,0.771,0.971,0.971,0.971,0.946,0.975,0.893,0.827,0.889,0.889,0.943,0.941,0.821,0.853,0.906,0.906,0.965,0.953,0.865
ecoli2-5-fold,0.967,0.964,0.967,0.955,0.958,0.964,0.925,0.885,0.925,0.905,0.905,0.885,0.880,0.897,0.880,0.831,0.856,0.892,0.899,0.887,0.899,0.864,0.875,0.885,0.949,0.931,0.949,0.934,0.936,0.931
segment0-5-fold,0.987,0.992,0.994,0.995,0.993,0.995,0.976,0.970,0.976,0.985,0.979,0.985,0.935,0.976,0.979,0.982,0.973,0.979,0.954,0.973,0.977,0.983,0.976,0.982,0.982,0.983,0.986,0.991,0.987,0.991
glass6-5-fold,0.949,0.949,0.935,0.944,0.944,0.958,0.767,0.720,0.687,0.720,0.720,0.800,0.870,0.883,0.813,0.853,0.860,0.893,0.801,0.787,0.738,0.774,0.774,0.836,0.863,0.840,0.816,0.837,0.837,0.884
