Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.636,0.636,0.636,0.636,0.636,0.635,0.224,0.224,0.224,0.224,0.224,0.275,0.475,0.475,0.475,0.475,0.475,0.475,0.293,0.293,0.293,0.293,0.293,0.348,0.420,0.420,0.420,0.420,0.420,0.474
ecoli-0_vs_1-5-fold,0.986,0.986,0.986,0.986,0.986,0.914,0.993,0.993,0.993,0.993,0.993,0.931,0.986,0.986,0.986,0.986,0.986,0.938,0.990,0.990,0.990,0.990,0.990,0.934,0.983,0.983,0.983,0.983,0.983,0.905
wisconsin-5-fold,0.959,0.959,0.959,0.959,0.959,0.962,0.916,0.916,0.916,0.916,0.916,0.975,0.965,0.965,0.965,0.965,0.965,0.921,0.940,0.940,0.940,0.940,0.940,0.947,0.949,0.949,0.949,0.949,0.949,0.965
pima-5-fold,0.768,0.768,0.768,0.768,0.768,0.767,0.563,0.563,0.563,0.563,0.563,0.578,0.713,0.713,0.713,0.713,0.713,0.704,0.628,0.628,0.628,0.628,0.628,0.634,0.702,0.702,0.702,0.702,0.702,0.708
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,0.993,1.000,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,1.000,1.000,1.000,1.000,1.000,0.990
glass0-5-fold,0.762,0.762,0.762,0.762,0.762,0.720,0.514,0.514,0.514,0.514,0.514,0.400,0.690,0.690,0.690,0.690,0.690,0.603,0.580,0.580,0.580,0.580,0.580,0.474,0.668,0.668,0.668,0.668,0.668,0.581
yeast1-5-fold,0.756,0.756,0.756,0.756,0.756,0.776,0.326,0.326,0.326,0.326,0.326,0.457,0.666,0.666,0.666,0.666,0.666,0.669,0.435,0.435,0.435,0.435,0.435,0.541,0.550,0.550,0.550,0.550,0.550,0.642
haberman-5-fold,0.742,0.742,0.742,0.742,0.742,0.732,0.148,0.148,0.148,0.148,0.148,0.049,0.547,0.547,0.547,0.547,0.547,0.500,0.230,0.230,0.230,0.230,0.230,0.089,0.367,0.367,0.367,0.367,0.367,0.197
vehicle2-5-fold,0.968,0.968,0.968,0.968,0.968,0.929,0.936,0.936,0.936,0.936,0.936,0.826,0.941,0.941,0.941,0.941,0.941,0.895,0.938,0.938,0.938,0.938,0.938,0.857,0.957,0.957,0.957,0.957,0.957,0.892
vehicle1-5-fold,0.800,0.800,0.800,0.800,0.800,0.786,0.520,0.520,0.520,0.520,0.520,0.474,0.644,0.644,0.644,0.644,0.644,0.592,0.572,0.572,0.572,0.572,0.572,0.521,0.682,0.682,0.682,0.682,0.682,0.640
vehicle3-5-fold,0.795,0.795,0.795,0.795,0.795,0.768,0.495,0.495,0.495,0.495,0.495,0.302,0.617,0.617,0.617,0.617,0.617,0.576,0.547,0.547,0.547,0.547,0.547,0.394,0.665,0.665,0.665,0.665,0.665,0.527
glass-0-1-2-3_vs_4-5-6-5-fold,0.925,0.925,0.925,0.925,0.925,0.930,0.785,0.785,0.785,0.785,0.785,0.744,0.894,0.894,0.894,0.894,0.894,0.949,0.829,0.829,0.829,0.829,0.829,0.832,0.869,0.869,0.869,0.869,0.869,0.856
vehicle0-5-fold,0.952,0.952,0.952,0.952,0.952,0.953,0.899,0.899,0.899,0.899,0.899,0.890,0.897,0.897,0.897,0.897,0.897,0.908,0.897,0.897,0.897,0.897,0.897,0.898,0.933,0.933,0.933,0.933,0.933,0.930
ecoli1-5-fold,0.884,0.884,0.884,0.884,0.884,0.869,0.782,0.782,0.782,0.782,0.782,0.612,0.750,0.750,0.750,0.750,0.750,0.785,0.759,0.759,0.759,0.759,0.759,0.683,0.843,0.843,0.843,0.843,0.843,0.759
new-thyroid1-5-fold,0.949,0.949,0.949,0.949,0.949,0.930,0.686,0.686,0.686,0.686,0.686,0.600,1.000,1.000,1.000,1.000,1.000,0.960,0.803,0.803,0.803,0.803,0.803,0.729,0.823,0.823,0.823,0.823,0.823,0.768
ecoli2-5-fold,0.914,0.914,0.914,0.914,0.914,0.887,0.693,0.693,0.693,0.693,0.693,0.495,0.744,0.744,0.744,0.744,0.744,0.748,0.714,0.714,0.714,0.714,0.714,0.542,0.812,0.812,0.812,0.812,0.812,0.662
segment0-5-fold,0.980,0.980,0.980,0.980,0.980,0.979,0.970,0.970,0.970,0.970,0.970,0.967,0.901,0.901,0.901,0.901,0.901,0.894,0.933,0.933,0.933,0.933,0.933,0.929,0.976,0.976,0.976,0.976,0.976,0.974
glass6-5-fold,0.963,0.963,0.963,0.963,0.963,0.953,0.833,0.833,0.833,0.833,0.833,0.900,0.887,0.887,0.887,0.887,0.887,0.821,0.858,0.858,0.858,0.858,0.858,0.854,0.902,0.902,0.902,0.902,0.902,0.930
yeast3-5-fold,0.944,0.944,0.944,0.944,0.944,0.931,0.674,0.674,0.674,0.674,0.674,0.502,0.789,0.789,0.789,0.789,0.789,0.787,0.725,0.725,0.725,0.725,0.725,0.608,0.810,0.810,0.810,0.810,0.810,0.695
ecoli3-5-fold,0.931,0.931,0.931,0.931,0.931,0.920,0.714,0.714,0.714,0.714,0.714,0.514,0.645,0.645,0.645,0.645,0.645,0.630,0.664,0.664,0.664,0.664,0.664,0.562,0.809,0.809,0.809,0.809,0.809,0.695
page-blocks0-5-fold,0.946,0.946,0.946,0.946,0.946,0.943,0.592,0.592,0.592,0.592,0.592,0.628,0.829,0.829,0.829,0.829,0.829,0.771,0.690,0.690,0.690,0.690,0.690,0.692,0.764,0.764,0.764,0.764,0.764,0.784
ecoli-0-3-4_vs_5-5-fold,0.940,0.940,0.940,0.940,0.940,0.950,0.750,0.750,0.750,0.750,0.750,0.700,0.677,0.677,0.677,0.677,0.677,0.817,0.702,0.702,0.702,0.702,0.702,0.729,0.839,0.839,0.839,0.839,0.839,0.819
yeast-2_vs_4-5-fold,0.957,0.957,0.957,0.957,0.957,0.953,0.667,0.667,0.667,0.667,0.667,0.647,0.891,0.891,0.891,0.891,0.891,0.861,0.752,0.752,0.752,0.752,0.752,0.732,0.810,0.810,0.810,0.810,0.810,0.798
ecoli-0-6-7_vs_3-5-5-fold,0.924,0.924,0.924,0.924,0.924,0.919,0.530,0.530,0.530,0.530,0.530,0.470,0.503,0.503,0.503,0.503,0.503,0.643,0.506,0.506,0.506,0.506,0.506,0.494,0.616,0.616,0.616,0.616,0.616,0.583
ecoli-0-2-3-4_vs_5-5-fold,0.955,0.955,0.955,0.955,0.955,0.946,0.800,0.800,0.800,0.800,0.800,0.700,0.763,0.763,0.763,0.763,0.763,0.750,0.775,0.775,0.775,0.775,0.775,0.710,0.876,0.876,0.876,0.876,0.876,0.817
glass-0-1-5_vs_2-5-fold,0.867,0.867,0.867,0.867,0.867,0.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yeast-0-3-5-9_vs_7-8-5-fold,0.917,0.917,0.917,0.917,0.917,0.913,0.220,0.220,0.220,0.220,0.220,0.220,0.833,0.833,0.833,0.833,0.833,0.733,0.336,0.336,0.336,0.336,0.336,0.326,0.460,0.460,0.460,0.460,0.460,0.459
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.927,0.927,0.927,0.927,0.927,0.920,0.455,0.455,0.455,0.455,0.455,0.294,0.706,0.706,0.706,0.706,0.706,0.731,0.551,0.551,0.551,0.551,0.551,0.417,0.662,0.662,0.662,0.662,0.662,0.534
ecoli-0-4-6_vs_5-5-fold,0.966,0.966,0.966,0.966,0.966,0.966,0.800,0.800,0.800,0.800,0.800,0.750,0.850,0.850,0.850,0.850,0.850,0.867,0.821,0.821,0.821,0.821,0.821,0.800,0.882,0.882,0.882,0.882,0.882,0.844
ecoli-0-1_vs_2-3-5-5-fold,0.959,0.959,0.959,0.959,0.959,0.963,0.730,0.730,0.730,0.730,0.730,0.730,0.860,0.860,0.860,0.860,0.860,0.817,0.740,0.740,0.740,0.740,0.740,0.760,0.825,0.825,0.825,0.825,0.825,0.829
