Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.668,0.668,0.645,0.645,0.664,0.654,0.066,0.079,0.000,0.000,0.066,0.039,0.800,0.800,0.000,0.000,0.800,0.400,0.121,0.143,0.000,0.000,0.121,0.071,0.226,0.248,0.000,0.000,0.226,0.123
ecoli-0_vs_1-5-fold,0.350,0.955,0.350,0.350,0.932,0.868,0.000,0.993,0.000,0.000,0.979,0.979,0.000,0.942,0.000,0.000,0.922,0.848,0.000,0.966,0.000,0.000,0.950,0.908,0.000,0.935,0.000,0.000,0.907,0.799
wisconsin-5-fold,0.965,0.968,0.972,0.907,0.968,0.968,0.966,0.962,0.979,0.783,0.971,0.967,0.936,0.947,0.944,0.756,0.940,0.944,0.951,0.954,0.961,0.769,0.955,0.955,0.965,0.967,0.974,0.779,0.968,0.967
pima-5-fold,0.651,0.651,0.651,0.651,0.651,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
iris0-5-fold,0.333,0.333,0.333,0.333,0.333,0.333,1.000,1.000,1.000,1.000,1.000,1.000,0.333,0.333,0.333,0.333,0.333,0.333,0.500,0.500,0.500,0.500,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000
glass0-5-fold,0.650,0.668,0.673,0.673,0.645,0.687,0.000,0.143,0.000,0.000,0.029,0.114,0.000,0.502,0.000,0.000,0.107,0.550,0.000,0.214,0.000,0.000,0.045,0.182,0.000,0.323,0.000,0.000,0.101,0.290
yeast1-5-fold,0.711,0.730,0.711,0.711,0.724,0.724,0.000,0.296,0.000,0.000,0.192,0.089,0.000,0.336,0.000,0.000,0.226,0.136,0.000,0.315,0.000,0.000,0.207,0.108,0.000,0.387,0.000,0.000,0.255,0.128
haberman-5-fold,0.735,0.735,0.735,0.735,0.748,0.738,0.000,0.110,0.000,0.000,0.147,0.160,0.000,0.467,0.000,0.000,0.613,0.527,0.000,0.171,0.000,0.000,0.234,0.241,0.000,0.282,0.000,0.000,0.369,0.378
vehicle2-5-fold,0.742,0.944,0.774,0.742,0.940,0.944,0.000,0.872,0.133,0.000,0.881,0.881,0.000,0.910,0.946,0.000,0.884,0.903,0.000,0.890,0.232,0.000,0.882,0.891,0.000,0.919,0.363,0.000,0.919,0.923
vehicle1-5-fold,0.721,0.779,0.742,0.744,0.781,0.773,0.377,0.423,0.005,0.000,0.396,0.433,0.462,0.595,0.067,0.000,0.611,0.572,0.407,0.492,0.009,0.000,0.480,0.492,0.558,0.614,0.030,0.000,0.600,0.617
vehicle3-5-fold,0.755,0.748,0.748,0.749,0.767,0.758,0.132,0.349,0.000,0.000,0.363,0.297,0.533,0.505,0.000,0.000,0.561,0.536,0.212,0.409,0.000,0.000,0.434,0.381,0.349,0.553,0.000,0.000,0.568,0.520
glass-0-1-2-3_vs_4-5-6-5-fold,0.752,0.855,0.762,0.762,0.789,0.879,0.000,0.427,0.000,0.000,0.193,0.609,0.000,0.733,0.000,0.000,0.480,0.841,0.000,0.539,0.000,0.000,0.274,0.704,0.000,0.578,0.000,0.000,0.332,0.764
vehicle0-5-fold,0.817,0.949,0.848,0.765,0.944,0.946,0.718,0.889,0.502,0.000,0.874,0.894,0.591,0.896,0.773,0.000,0.890,0.878,0.647,0.892,0.601,0.000,0.881,0.886,0.779,0.927,0.687,0.000,0.919,0.927
ecoli1-5-fold,0.771,0.899,0.771,0.771,0.878,0.866,0.000,0.792,0.000,0.000,0.768,0.662,0.000,0.810,0.000,0.000,0.762,0.753,0.000,0.787,0.000,0.000,0.754,0.695,0.000,0.855,0.000,0.000,0.834,0.781
new-thyroid1-5-fold,0.837,0.837,0.837,0.837,0.837,0.856,0.000,0.000,0.000,0.000,0.029,0.257,0.000,0.000,0.000,0.000,0.200,0.700,0.000,0.000,0.000,0.000,0.050,0.360,0.000,0.000,0.000,0.000,0.076,0.489
