Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.444,0.584,0.575,0.575,0.538,0.589,0.800,0.411,0.413,0.240,0.552,0.360,0.297,0.436,0.358,0.150,0.405,0.261,0.433,0.381,0.252,0.170,0.450,0.285,0.093,0.480,0.217,0.150,0.518,0.304
ecoli-0_vs_1-5-fold,0.905,0.982,0.973,0.900,0.977,0.886,0.965,0.986,0.993,0.959,0.979,0.853,0.914,0.987,0.968,0.920,0.986,0.974,0.932,0.986,0.980,0.930,0.982,0.904,0.854,0.979,0.962,0.835,0.976,0.894
wisconsin-5-fold,0.936,0.959,0.962,0.960,0.956,0.915,0.861,0.941,0.979,0.963,0.946,0.920,0.951,0.942,0.919,0.929,0.931,0.874,0.899,0.941,0.948,0.944,0.937,0.890,0.914,0.955,0.966,0.960,0.953,0.914
pima-5-fold,0.462,0.682,0.689,0.665,0.704,0.689,0.840,0.626,0.438,0.390,0.660,0.566,0.385,0.535,0.654,0.769,0.566,0.563,0.520,0.576,0.415,0.363,0.599,0.550,0.409,0.665,0.497,0.426,0.682,0.640
iris0-5-fold,1.000,0.993,0.993,1.000,1.000,1.000,1.000,0.980,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,0.989,1.000,1.000,1.000,1.000,0.990,0.990,1.000,1.000,1.000
glass0-5-fold,0.640,0.715,0.687,0.659,0.701,0.654,0.200,0.414,0.314,0.429,0.571,0.371,0.080,0.741,0.239,0.389,0.570,0.193,0.114,0.427,0.255,0.323,0.535,0.253,0.105,0.538,0.274,0.396,0.628,0.274
yeast1-5-fold,0.728,0.691,0.632,0.725,0.664,0.735,0.209,0.480,0.579,0.135,0.515,0.245,0.492,0.490,0.501,0.754,0.461,0.583,0.273,0.467,0.453,0.201,0.453,0.320,0.376,0.599,0.489,0.327,0.579,0.449
haberman-5-fold,0.640,0.653,0.637,0.634,0.694,0.638,0.312,0.237,0.212,0.310,0.359,0.212,0.226,0.251,0.381,0.444,0.375,0.283,0.206,0.243,0.154,0.228,0.361,0.225,0.177,0.377,0.219,0.232,0.468,0.375
vehicle2-5-fold,0.845,0.935,0.887,0.805,0.923,0.907,0.676,0.877,0.926,0.821,0.875,0.826,0.730,0.873,0.756,0.671,0.842,0.817,0.662,0.873,0.820,0.693,0.857,0.820,0.758,0.914,0.895,0.787,0.907,0.877
vehicle1-5-fold,0.592,0.721,0.716,0.623,0.770,0.742,0.499,0.451,0.616,0.592,0.582,0.520,0.389,0.485,0.370,0.334,0.562,0.520,0.282,0.452,0.460,0.384,0.545,0.490,0.356,0.599,0.580,0.452,0.675,0.629
vehicle3-5-fold,0.700,0.729,0.629,0.746,0.710,0.736,0.181,0.402,0.719,0.189,0.293,0.566,0.064,0.456,0.408,0.493,0.427,0.487,0.095,0.419,0.467,0.249,0.342,0.509,0.116,0.572,0.569,0.390,0.494,0.657
glass-0-1-2-3_vs_4-5-6-5-fold,0.701,0.907,0.907,0.916,0.916,0.869,0.380,0.764,0.800,0.865,0.804,0.780,0.418,0.829,0.838,0.810,0.843,0.810,0.321,0.792,0.797,0.828,0.813,0.753,0.266,0.849,0.857,0.895,0.868,0.822
vehicle0-5-fold,0.813,0.936,0.957,0.827,0.959,0.936,0.416,0.955,0.859,0.640,0.945,0.880,0.875,0.818,0.955,0.586,0.890,0.861,0.460,0.877,0.900,0.536,0.915,0.866,0.572,0.941,0.919,0.630,0.953,0.915
ecoli1-5-fold,0.860,0.878,0.893,0.899,0.857,0.842,0.597,0.794,0.677,0.782,0.650,0.703,0.809,0.758,0.848,0.795,0.767,0.681,0.641,0.746,0.724,0.779,0.637,0.659,0.728,0.835,0.792,0.852,0.743,0.770
new-thyroid1-5-fold,0.944,0.986,0.949,0.958,0.981,0.963,0.657,0.943,0.857,0.857,0.971,0.857,1.000,0.975,0.871,0.915,0.931,0.925,0.760,0.956,0.831,0.866,0.946,0.865,0.792,0.968,0.899,0.910,0.977,0.908
ecoli2-5-fold,0.720,0.914,0.842,0.899,0.902,0.893,0.807,0.698,0.771,0.633,0.695,0.578,0.513,0.775,0.637,0.777,0.703,0.728,0.554,0.703,0.635,0.647,0.684,0.628,0.715,0.805,0.792,0.758,0.804,0.738
segment0-5-fold,0.990,0.994,0.997,0.997,0.987,0.980,0.955,0.973,0.979,0.982,0.942,0.903,0.975,0.985,0.997,0.997,0.968,0.960,0.963,0.978,0.988,0.989,0.953,0.925,0.974,0.985,0.989,0.991,0.967,0.945
glass6-5-fold,0.916,0.935,0.911,0.935,0.916,0.925,0.420,0.753,0.720,0.720,0.687,0.833,0.700,0.769,0.754,0.800,0.723,0.708,0.520,0.759,0.711,0.741,0.694,0.761,0.562,0.847,0.819,0.828,0.807,0.883
yeast3-5-fold,0.937,0.924,0.916,0.947,0.916,0.852,0.620,0.687,0.618,0.643,0.607,0.726,0.785,0.644,0.746,0.844,0.647,0.586,0.671,0.658,0.599,0.723,0.582,0.589,0.770,0.804,0.747,0.792,0.733,0.775
ecoli3-5-fold,0.893,0.911,0.890,0.896,0.869,0.836,0.571,0.629,0.571,0.457,0.600,0.571,0.633,0.478,0.406,0.318,0.462,0.402,0.503,0.525,0.458,0.361,0.426,0.372,0.694,0.675,0.638,0.495,0.624,0.592
page-blocks0-5-fold,0.771,0.927,0.896,0.897,0.925,0.918,0.653,0.606,0.662,0.794,0.612,0.544,0.616,0.674,0.637,0.566,0.677,0.633,0.544,0.626,0.576,0.637,0.621,0.574,0.611,0.759,0.765,0.847,0.760,0.712
