Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.631,0.631,0.631,0.631,0.631,0.622,0.830,0.830,0.830,0.830,0.830,0.672,0.490,0.490,0.490,0.490,0.490,0.478,0.616,0.616,0.616,0.616,0.616,0.557,0.657,0.657,0.657,0.657,0.657,0.630
ecoli-0_vs_1-5-fold,0.564,0.705,0.523,0.741,0.745,0.427,0.564,0.993,0.455,0.827,0.793,0.257,0.637,0.692,0.672,0.810,0.855,0.604,0.504,0.814,0.420,0.792,0.782,0.293,0.260,0.380,0.251,0.651,0.671,0.293
wisconsin-5-fold,0.952,0.952,0.952,0.952,0.952,0.947,0.975,0.975,0.975,0.975,0.975,0.996,0.896,0.896,0.896,0.896,0.896,0.873,0.934,0.934,0.934,0.934,0.934,0.930,0.957,0.957,0.957,0.957,0.957,0.958
pima-5-fold,0.743,0.743,0.743,0.743,0.743,0.754,0.560,0.560,0.560,0.560,0.560,0.653,0.656,0.656,0.656,0.656,0.656,0.648,0.604,0.604,0.604,0.604,0.604,0.650,0.686,0.686,0.686,0.686,0.686,0.726
iris0-5-fold,1.000,1.000,1.000,1.000,1.000,0.987,1.000,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000,0.982,1.000,1.000,1.000,1.000,1.000,0.980,1.000,1.000,1.000,1.000,1.000,0.985
glass0-5-fold,0.668,0.668,0.668,0.668,0.668,0.669,0.914,0.914,0.914,0.914,0.914,0.843,0.497,0.497,0.497,0.497,0.497,0.500,0.643,0.643,0.643,0.643,0.643,0.626,0.707,0.707,0.707,0.707,0.707,0.699
yeast1-5-fold,0.615,0.425,0.668,0.575,0.440,0.300,0.398,0.730,0.177,0.434,0.779,0.993,0.392,0.301,0.343,0.277,0.305,0.291,0.309,0.392,0.182,0.300,0.404,0.451,0.424,0.313,0.311,0.362,0.327,0.130
haberman-5-fold,0.748,0.748,0.748,0.748,0.748,0.693,0.196,0.196,0.196,0.196,0.196,0.112,0.543,0.543,0.543,0.543,0.543,0.298,0.286,0.286,0.286,0.286,0.286,0.161,0.417,0.417,0.417,0.417,0.417,0.310
vehicle2-5-fold,0.989,0.989,0.989,0.989,0.989,0.956,0.972,0.972,0.972,0.972,0.972,0.881,0.986,0.986,0.986,0.986,0.986,0.949,0.979,0.979,0.979,0.979,0.979,0.912,0.984,0.984,0.984,0.984,0.984,0.930
vehicle1-5-fold,0.824,0.824,0.824,0.824,0.824,0.800,0.885,0.885,0.885,0.885,0.885,0.824,0.608,0.608,0.608,0.608,0.608,0.577,0.720,0.720,0.720,0.720,0.720,0.678,0.843,0.843,0.843,0.843,0.843,0.807
vehicle3-5-fold,0.804,0.804,0.804,0.804,0.804,0.756,0.896,0.896,0.896,0.896,0.896,0.797,0.569,0.569,0.569,0.569,0.569,0.511,0.695,0.695,0.695,0.695,0.695,0.621,0.831,0.831,0.831,0.831,0.831,0.768
glass-0-1-2-3_vs_4-5-6-5-fold,0.911,0.911,0.911,0.911,0.911,0.939,0.884,0.884,0.884,0.884,0.884,0.902,0.796,0.796,0.796,0.796,0.796,0.854,0.831,0.831,0.831,0.831,0.831,0.876,0.899,0.899,0.899,0.899,0.899,0.926
vehicle0-5-fold,0.965,0.965,0.965,0.965,0.965,0.960,0.980,0.980,0.980,0.980,0.980,0.910,0.884,0.884,0.884,0.884,0.884,0.919,0.929,0.929,0.929,0.929,0.929,0.913,0.970,0.970,0.970,0.970,0.970,0.941
ecoli1-5-fold,0.801,0.541,0.801,0.742,0.744,0.399,0.413,0.707,0.279,0.543,0.686,0.949,0.619,0.260,0.512,0.546,0.516,0.319,0.426,0.366,0.315,0.472,0.555,0.456,0.559,0.358,0.412,0.615,0.703,0.281
new-thyroid1-5-fold,0.967,0.967,0.967,0.967,0.967,0.935,1.000,1.000,1.000,1.000,1.000,0.657,0.855,0.855,0.855,0.855,0.855,0.933,0.916,0.916,0.916,0.916,0.916,0.755,0.980,0.980,0.980,0.980,0.980,0.798
ecoli2-5-fold,0.717,0.774,0.753,0.610,0.798,0.780,0.418,0.229,0.327,0.660,0.185,0.573,0.209,0.121,0.218,0.273,0.232,0.368,0.233,0.156,0.249,0.348,0.174,0.410,0.414,0.261,0.440,0.556,0.294,0.642
segment0-5-fold,0.879,0.914,0.889,0.759,0.906,0.994,0.521,0.603,0.534,0.773,0.790,0.964,0.706,0.816,0.716,0.680,0.813,0.997,0.515,0.607,0.508,0.548,0.729,0.980,0.639,0.701,0.638,0.688,0.832,0.981
