Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass1-5-fold,0.645,0.752,0.668,0.645,0.752,0.720,0.000,0.475,0.198,0.000,0.473,0.370,0.000,0.742,0.470,0.000,0.743,0.761,0.000,0.574,0.278,0.000,0.568,0.479,0.000,0.653,0.375,0.000,0.649,0.575
ecoli-0_vs_1-5-fold,0.986,0.977,0.986,0.986,0.968,0.955,1.000,0.993,1.000,1.000,0.986,0.993,0.980,0.974,0.980,0.980,0.968,0.941,0.990,0.983,0.990,0.990,0.976,0.966,0.979,0.969,0.979,0.979,0.958,0.935
wisconsin-5-fold,0.969,0.971,0.969,0.969,0.968,0.969,0.971,0.971,0.971,0.971,0.967,0.983,0.944,0.947,0.944,0.944,0.943,0.933,0.957,0.959,0.957,0.957,0.955,0.957,0.970,0.971,0.970,0.970,0.968,0.972
pima-5-fold,0.760,0.767,0.776,0.769,0.775,0.743,0.481,0.541,0.556,0.563,0.559,0.515,0.742,0.723,0.738,0.716,0.733,0.676,0.583,0.617,0.632,0.629,0.634,0.583,0.661,0.692,0.704,0.703,0.705,0.667
iris0-5-fold,1.000,1.000,1.000,1.000,0.993,0.993,1.000,1.000,1.000,1.000,0.980,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.989,0.989,1.000,1.000,1.000,1.000,0.990,0.990
glass0-5-fold,0.673,0.790,0.720,0.692,0.795,0.715,0.000,0.614,0.314,0.114,0.629,0.357,0.000,0.697,0.669,0.733,0.711,0.587,0.000,0.648,0.421,0.193,0.661,0.433,0.000,0.727,0.533,0.329,0.737,0.546
yeast1-5-fold,0.757,0.762,0.760,0.760,0.762,0.776,0.291,0.364,0.284,0.284,0.375,0.413,0.696,0.661,0.726,0.725,0.656,0.693,0.409,0.469,0.407,0.407,0.477,0.516,0.525,0.579,0.520,0.520,0.587,0.617
haberman-5-fold,0.725,0.725,0.716,0.712,0.729,0.719,0.000,0.149,0.050,0.000,0.186,0.000,0.000,0.465,0.187,0.000,0.464,0.000,0.000,0.221,0.078,0.000,0.253,0.000,0.000,0.363,0.134,0.000,0.397,0.000
vehicle2-5-fold,0.765,0.975,0.973,0.942,0.974,0.978,0.087,0.931,0.913,0.849,0.940,0.950,1.000,0.971,0.980,0.921,0.958,0.963,0.158,0.951,0.945,0.883,0.949,0.956,0.288,0.960,0.952,0.909,0.963,0.968
vehicle1-5-fold,0.744,0.785,0.787,0.764,0.790,0.782,0.000,0.331,0.299,0.097,0.327,0.331,0.000,0.655,0.697,0.681,0.694,0.646,0.000,0.439,0.418,0.169,0.442,0.434,0.000,0.554,0.532,0.276,0.554,0.551
