,,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
SVM_lin - means,means,0.46,0.53,0.39,0.37,0.51,0.53,0.50,0.58,0.42,0.40,0.56,0.59
SVM_lin- Total wins,Total wins,10.67,23.58,5.58,6.08,15.58,20.50,15.67,23.58,4.25,4.25,12.08,22.17
SVM_RBF - means,means,0.37,0.54,0.50,0.47,0.42,0.46,0.40,0.58,0.53,0.50,0.46,0.50
SVM_RBF- Total wins,Total wins,10.33,23.32,11.23,10.73,10.90,15.48,10.33,23.32,9.90,11.40,10.90,16.15
KNN - means,means,0.53,0.57,0.56,0.55,0.56,0.57,0.58,0.62,0.60,0.60,0.61,0.61
KNN- Total wins,Total wins,13.57,15.65,10.18,11.85,14.82,15.93,15.57,13.65,10.18,10.85,14.82,16.93
GNB - means,means,0.43,0.42,0.42,0.42,0.43,0.43,0.63,0.61,0.61,0.62,0.64,0.59
GNB- Total wins,Total wins,13.20,5.12,4.12,4.45,21.45,33.67,16.25,6.17,5.42,5.75,22.75,25.67
GLVQ - means,means,0.11,0.11,0.08,0.09,0.18,0.10,0.12,0.12,0.08,0.10,0.20,0.11
GLVQ- Total wins,Total wins,10.37,11.03,10.87,11.87,25.33,12.53,11.37,11.03,10.87,11.87,24.33,12.53
LDA - means,means,0.56,0.56,0.56,0.56,0.56,0.54,0.64,0.64,0.64,0.64,0.64,0.61
LDA- Total wins,Total wins,10.53,10.53,10.53,10.53,10.53,29.33,10.93,10.93,10.93,10.93,10.93,27.33
QDA - means,means,0.37,0.38,0.35,0.38,0.39,0.36,0.48,0.49,0.46,0.49,0.50,0.43
QDA- Total wins,Total wins,12.53,9.53,9.87,12.87,17.20,20.00,14.80,10.13,11.13,10.13,16.80,19.00
GP - means,means,0.54,0.37,0.59,0.58,0.46,0.34,0.58,0.40,0.64,0.63,0.50,0.36
GP- Total wins,Total wins,21.38,10.30,16.63,11.63,14.05,8.00,21.38,10.30,17.13,12.13,13.05,8.00
DT - means,means,0.58,0.58,0.58,0.58,0.58,0.58,0.70,0.70,0.70,0.70,0.70,0.70
DT- Total wins,Total wins,9.53,14.87,8.87,10.70,11.78,26.25,9.90,16.07,9.07,9.57,12.15,25.25
Percep - means,means,0.38,0.54,0.49,0.46,0.50,0.48,0.45,0.66,0.57,0.54,0.62,0.60
Percep- Total wins,Total wins,5.08,24.33,9.67,11.42,18.25,13.25,5.08,26.33,9.67,8.42,18.25,14.25
MLP - means,means,0.08,0.20,0.06,0.06,0.19,0.22,0.09,0.22,0.06,0.05,0.20,0.24
MLP- Total wins,Total wins,8.33,19.83,8.33,7.33,12.33,25.83,8.33,18.83,8.33,7.33,13.33,25.83
Overall mean,,0.40,0.44,0.42,0.41,0.43,0.42,0.47,0.51,0.48,0.48,0.51,0.49
Overall sum of wins,,125.53,168.10,105.88,109.47,172.23,220.78,139.62,170.35,106.88,102.63,169.40,213.12
