@relation abalone-17_vs_7-8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.35, 0.265, 0.09, 0.2255, 0.0995, 0.0485, 0.07, negative
I, 0.355, 0.28, 0.085, 0.2905, 0.095, 0.0395, 0.115, negative
I, 0.35, 0.26, 0.095, 0.211, 0.086, 0.056, 0.068, negative
I, 0.36, 0.26, 0.09, 0.1785, 0.0645, 0.037, 0.075, negative
M, 0.335, 0.25, 0.09, 0.181, 0.0755, 0.0415, 0.06, negative
F, 0.39, 0.29, 0.125, 0.3055, 0.121, 0.082, 0.09, negative
I, 0.345, 0.27, 0.11, 0.2135, 0.082, 0.0545, 0.07, negative
I, 0.36, 0.275, 0.095, 0.217, 0.084, 0.0435, 0.09, negative
M, 0.38, 0.235, 0.1, 0.258, 0.1055, 0.054, 0.08, negative
M, 0.325, 0.24, 0.085, 0.173, 0.0795, 0.038, 0.05, negative
I, 0.37, 0.275, 0.1, 0.2295, 0.0885, 0.0465, 0.07, negative
I, 0.365, 0.275, 0.135, 0.24, 0.108, 0.0445, 0.0735, negative
I, 0.335, 0.25, 0.075, 0.1825, 0.0705, 0.044, 0.055, negative
I, 0.335, 0.25, 0.075, 0.186, 0.0945, 0.038, 0.0445, negative
I, 0.385, 0.29, 0.08, 0.2485, 0.122, 0.0495, 0.065, negative
I, 0.44, 0.33, 0.11, 0.3705, 0.1545, 0.084, 0.12, negative
I, 0.445, 0.34, 0.145, 0.434, 0.1945, 0.0905, 0.13, negative
F, 0.52, 0.46, 0.15, 1.019, 0.523, 0.1985, 0.254, negative
F, 0.575, 0.46, 0.145, 0.9945, 0.466, 0.229, 0.265, negative
I, 0.37, 0.29, 0.09, 0.2445, 0.089, 0.0655, 0.075, negative
I, 0.39, 0.3, 0.095, 0.3265, 0.1665, 0.0575, 0.089, negative
I, 0.425, 0.325, 0.11, 0.3335, 0.173, 0.045, 0.1, negative
I, 0.505, 0.38, 0.12, 0.594, 0.2595, 0.1435, 0.18, negative
I, 0.4, 0.3, 0.09, 0.2815, 0.1185, 0.061, 0.08, negative
I, 0.405, 0.29, 0.09, 0.2825, 0.112, 0.075, 0.0815, negative
I, 0.455, 0.335, 0.135, 0.501, 0.274, 0.0995, 0.1065, negative
F, 0.475, 0.365, 0.115, 0.566, 0.281, 0.117, 0.1335, negative
I, 0.48, 0.36, 0.125, 0.542, 0.2795, 0.1025, 0.147, negative
I, 0.36, 0.275, 0.075, 0.2205, 0.0985, 0.044, 0.066, negative
I, 0.36, 0.265, 0.075, 0.1845, 0.083, 0.0365, 0.055, negative
I, 0.385, 0.28, 0.095, 0.257, 0.119, 0.059, 0.07, negative
I, 0.45, 0.335, 0.11, 0.4195, 0.181, 0.085, 0.1345, negative
I, 0.46, 0.355, 0.11, 0.4255, 0.2015, 0.081, 0.13, negative
I, 0.485, 0.375, 0.13, 0.6025, 0.2935, 0.1285, 0.16, negative
M, 0.39, 0.28, 0.125, 0.564, 0.3035, 0.0955, 0.143, negative
