@relation abalone-20_vs_8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, negative
M, 0.47, 0.385, 0.135, 0.5895, 0.2765, 0.12, 0.17, negative
F, 0.4, 0.32, 0.11, 0.353, 0.1405, 0.0985, 0.1, negative
M, 0.47, 0.375, 0.13, 0.523, 0.214, 0.132, 0.145, negative
I, 0.355, 0.275, 0.085, 0.22, 0.092, 0.06, 0.15, negative
F, 0.415, 0.305, 0.13, 0.32, 0.1305, 0.0755, 0.105, negative
I, 0.33, 0.255, 0.085, 0.1655, 0.063, 0.039, 0.06, negative
M, 0.36, 0.295, 0.105, 0.241, 0.0865, 0.053, 0.095, negative
F, 0.4, 0.325, 0.12, 0.3185, 0.134, 0.0565, 0.095, negative
I, 0.375, 0.305, 0.115, 0.2715, 0.092, 0.074, 0.09, negative
F, 0.61, 0.495, 0.185, 1.153, 0.536, 0.2905, 0.245, negative
M, 0.57, 0.44, 0.095, 0.827, 0.3395, 0.2215, 0.235, negative
I, 0.29, 0.225, 0.07, 0.101, 0.036, 0.0235, 0.035, negative
I, 0.335, 0.26, 0.1, 0.192, 0.0785, 0.0585, 0.07, negative
M, 0.255, 0.195, 0.065, 0.08, 0.0315, 0.018, 0.027, negative
M, 0.385, 0.275, 0.115, 0.2685, 0.0975, 0.0825, 0.085, negative
F, 0.48, 0.365, 0.135, 0.6395, 0.2945, 0.113, 0.175, negative
M, 0.525, 0.395, 0.13, 0.7635, 0.3375, 0.1425, 0.225, negative
F, 0.525, 0.415, 0.14, 0.724, 0.3475, 0.173, 0.175, negative
