@relation abalone-3_vs_11
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.11, 0.09, 0.03, 0.008, 0.0025, 0.002, 0.003, positive
I, 0.24, 0.175, 0.065, 0.0665, 0.031, 0.0135, 0.017, positive
I, 0.165, 0.12, 0.05, 0.021, 0.0075, 0.0045, 0.014, positive
F, 0.575, 0.445, 0.135, 0.883, 0.381, 0.2035, 0.26, negative
F, 0.545, 0.43, 0.165, 0.802, 0.2935, 0.183, 0.28, negative
F, 0.49, 0.375, 0.135, 0.6125, 0.2555, 0.102, 0.22, negative
F, 0.58, 0.465, 0.165, 1.1015, 0.404, 0.2095, 0.35, negative
F, 0.54, 0.475, 0.155, 0.928, 0.394, 0.194, 0.26, negative
M, 0.62, 0.465, 0.19, 1.3415, 0.5705, 0.3175, 0.355, negative
M, 0.58, 0.465, 0.145, 0.887, 0.4405, 0.1655, 0.265, negative
M, 0.585, 0.455, 0.15, 0.987, 0.4355, 0.2075, 0.31, negative
F, 0.58, 0.46, 0.12, 0.9935, 0.4625, 0.2385, 0.28, negative
F, 0.565, 0.49, 0.155, 0.9245, 0.405, 0.2195, 0.255, negative
M, 0.55, 0.45, 0.13, 0.92, 0.378, 0.2385, 0.29, negative
M, 0.54, 0.42, 0.135, 0.8075, 0.3485, 0.1795, 0.235, negative
F, 0.475, 0.35, 0.115, 0.452, 0.1715, 0.092, 0.155, negative
I, 0.46, 0.35, 0.12, 0.4885, 0.193, 0.105, 0.155, negative
M, 0.455, 0.35, 0.12, 0.4835, 0.1815, 0.144, 0.16, negative
F, 0.43, 0.325, 0.115, 0.3865, 0.1475, 0.1065, 0.11, negative
F, 0.55, 0.43, 0.155, 0.785, 0.289, 0.227, 0.233, negative
M, 0.53, 0.41, 0.165, 0.732, 0.189, 0.17, 0.31, negative
M, 0.6, 0.475, 0.175, 1.3445, 0.549, 0.2875, 0.36, negative
F, 0.625, 0.49, 0.155, 1.2085, 0.465, 0.162, 0.411, negative
M, 0.65, 0.525, 0.175, 1.4715, 0.675, 0.315, 0.399, negative
M, 0.645, 0.52, 0.175, 1.636, 0.779, 0.342, 0.432, negative
M, 0.745, 0.565, 0.215, 1.931, 0.896, 0.4585, 0.5, negative
I, 0.605, 0.485, 0.15, 1.238, 0.6315, 0.226, 0.33, negative
F, 0.625, 0.505, 0.175, 1.15, 0.5475, 0.256, 0.3045, negative
F, 0.695, 0.565, 0.19, 1.7635, 0.7465, 0.399, 0.4975, negative
M, 0.625, 0.47, 0.18, 1.136, 0.451, 0.3245, 0.305, negative
F, 0.62, 0.54, 0.165, 1.139, 0.4995, 0.2435, 0.357, negative
M, 0.63, 0.495, 0.175, 1.2695, 0.605, 0.271, 0.328, negative
M, 0.64, 0.525, 0.185, 1.707, 0.763, 0.4205, 0.4435, negative
M, 0.65, 0.505, 0.19, 1.274, 0.59, 0.23, 0.391, negative
F, 0.705, 0.545, 0.17, 1.58, 0.6435, 0.4565, 0.265, negative
F, 0.75, 0.565, 0.215, 1.938, 0.7735, 0.4825, 0.575, negative
M, 0.695, 0.53, 0.19, 1.726, 0.7625, 0.436, 0.455, negative
M, 0.72, 0.56, 0.18, 1.5865, 0.691, 0.375, 0.4425, negative
M, 0.73, 0.575, 0.21, 2.069, 0.9285, 0.409, 0.643, negative
M, 0.57, 0.455, 0.155, 0.832, 0.3585, 0.174, 0.277, negative
M, 0.575, 0.455, 0.155, 1.013, 0.4685, 0.2085, 0.295, negative
F, 0.64, 0.485, 0.185, 1.4195, 0.6735, 0.3465, 0.3255, negative
M, 0.66, 0.51, 0.175, 1.218, 0.5055, 0.303, 0.37, negative
M, 0.675, 0.515, 0.15, 1.312, 0.556, 0.2845, 0.4115, negative
F, 0.725, 0.57, 0.205, 1.6195, 0.744, 0.315, 0.488, negative
M, 0.5, 0.39, 0.145, 0.651, 0.273, 0.132, 0.22, negative
F, 0.435, 0.35, 0.12, 0.4585, 0.192, 0.1, 0.13, negative
I, 0.37, 0.28, 0.09, 0.233, 0.0905, 0.0545, 0.07, negative
I, 0.525, 0.43, 0.15, 0.7365, 0.3225, 0.161, 0.215, negative
M, 0.42, 0.34, 0.125, 0.4495, 0.165, 0.1125, 0.144, negative
F, 0.52, 0.405, 0.14, 0.6915, 0.276, 0.137, 0.215, negative
F, 0.475, 0.38, 0.145, 0.57, 0.167, 0.118, 0.187, negative
F, 0.595, 0.465, 0.15, 1.0255, 0.412, 0.2745, 0.289, negative
F, 0.63, 0.495, 0.2, 1.4255, 0.659, 0.336, 0.38, negative
M, 0.67, 0.5, 0.2, 1.269, 0.576, 0.2985, 0.351, negative
M, 0.735, 0.57, 0.175, 1.88, 0.9095, 0.387, 0.488, negative
F, 0.58, 0.465, 0.145, 0.9865, 0.47, 0.2155, 0.25, negative
F, 0.61, 0.45, 0.13, 0.8725, 0.389, 0.1715, 0.272, negative
F, 0.72, 0.565, 0.18, 1.719, 0.8465, 0.407, 0.3875, negative
