Atr-0,Atr-1,Atr-2,Atr-3,Atr-4,Atr-5,Atr-6,Atr-7,Atr-8,Atr-9,Atr-10,Atr-11,Atr-12,Atr-13,Atr-14,Atr-15,Atr-16,Atr-17,Atr-18,Atr-19,Atr-20,Atr-21,Atr-22,Atr-23,Atr-24,Atr-25,Atr-26,Atr-27,Atr-28,Atr-29,Atr-30,Atr-31,Atr-32,Atr-33,Atr-34,Atr-35,Atr-36,Atr-37,Atr-38,Atr-39,Atr-40,Class
0.0, tcp, private, REJ, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 28.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.04, 0.54, 0.0, 198.0, 1.0, 0.01, 0.09, 0.14, 0.0, 0.01, 0.0, 0.39, 1.0, negative
1.0, tcp, private, RSTR, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 48.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.04, 0.54, 0.0, 218.0, 2.0, 0.01, 0.12, 0.22, 0.0, 0.01, 0.0, 0.44, 1.0, negative
1.0, tcp, private, RSTR, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 98.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.02, 0.55, 0.0, 255.0, 2.0, 0.01, 0.22, 0.38, 0.0, 0.0, 0.0, 0.53, 1.0, negative
0.0, tcp, private, S0, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 7.0, 1.0, 0.71, 1.0, 0.29, 0.0, 0.14, 0.57, 0.0, 255.0, 1.0, 0.0, 0.02, 0.03, 0.0, 0.02, 1.0, 0.01, 0.0, negative
0.0, tcp, private, S0, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 47.0, 2.0, 0.81, 1.0, 0.19, 0.0, 0.04, 0.4, 0.0, 255.0, 2.0, 0.01, 0.08, 0.18, 0.0, 0.15, 1.0, 0.04, 0.0, negative
1.0, tcp, private, RSTOS0, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 157.0, 2.0, 0.69, 0.5, 0.31, 0.5, 0.01, 0.38, 0.0, 255.0, 2.0, 0.01, 0.24, 0.62, 0.0, 0.43, 0.5, 0.19, 0.5, negative
0.0, tcp, systat, RSTR, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 255.0, 1.0, 0.0, 0.06, 0.04, 0.0, 0.0, 0.0, 0.04, 1.0, negative
0.0, tcp, ftp, RSTR, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 255.0, 1.0, 0.0, 0.1, 0.08, 0.0, 0.0, 0.0, 0.08, 1.0, negative
0.0, tcp, private, RSTR, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 255.0, 1.0, 0.0, 0.13, 0.12, 0.0, 0.0, 0.0, 0.12, 1.0, negative
0.0, tcp, private, RSTR, 0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 255.0, 1.0, 0.0, 0.17, 0.16, 0.0, 0.0, 0.0, 0.16, 1.0, negative
