@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
76, 0, 81, -2, -40, 13, 5, 122, 118, negative
81, -2, 84, 0, -18, -30, 4, 103, 98, negative
83, 0, 86, 0, -4, 0, 3, 92, 88, negative
107, -2, 108, -1, 70, -23, 1, 38, 38, negative
85, 0, 89, 0, 6, 26, 4, 84, 80, negative
105, 0, 106, -1, 70, 0, 1, 36, 34, negative
81, 0, 85, 0, -22, 0, 4, 108, 104, negative
101, 0, 102, 0, 70, -12, 1, 32, 32, negative
79, 0, 83, 0, -32, -15, 4, 117, 112, negative
81, 3, 85, 6, -24, 0, 4, 111, 106, negative
102, 0, 102, -2, 70, -1, 1, 33, 32, negative
105, 0, 107, -3, 70, -4, 1, 37, 36, negative
80, 0, 84, 6, -24, 11, 4, 110, 106, negative
84, -2, 88, 0, 2, 0, 3, 85, 82, negative
81, -4, 85, 0, -10, 0, 4, 95, 92, negative
76, -3, 81, 0, -40, 0, 5, 122, 118, negative
102, 0, 103, 7, 70, -12, 1, 33, 32, negative
82, 0, 86, 0, -12, -18, 3, 99, 96, negative
82, 0, 85, 0, -6, 2, 3, 93, 90, negative
104, 0, 106, -1, 70, -2, 1, 36, 34, negative
103, 1, 104, 8, 70, 0, 1, 35, 34, negative
104, -5, 106, 0, 72, 0, 1, 33, 32, negative
79, 0, 83, -4, -40, 0, 4, 125, 120, negative
75, -4, 79, -4, -42, -30, 4, 123, 120, negative
82, -1, 86, 1, -2, 4, 4, 88, 84, negative
78, 0, 83, 4, -42, 0, 4, 126, 122, negative
104, 1, 106, 1, 72, 6, 1, 33, 32, negative
102, 0, 102, 0, 70, 0, 1, 33, 32, negative
81, 0, 86, 1, -24, -13, 4, 112, 108, negative
80, 0, 84, 0, -40, 21, 4, 125, 122, negative
85, 0, 88, -6, 0, 0, 3, 88, 84, negative
