Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
glass1-5-fold,No scaling,SVM_lin,0.6046511627906976,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6428571428571429,0.6401993355481728,0.018062826869193634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass1-5-fold,Standard Scaler,SVM_lin,0.627906976744186,0.6511627906976745,0.6511627906976745,0.627906976744186,0.6428571428571429,0.6401993355481728,0.010484872982099354,0.0625,0.0,0.06666666666666667,0.06666666666666667,0.0,0.03916666666666666,0.032015621187164243,0.5,0.0,0.5,0.3333333333333333,0.0,0.26666666666666666,0.2260776661041756,0.1111111111111111,0.0,0.11764705882352941,0.1111111111111111,0.0,0.06797385620915034,0.055551710747387656,0.2453266907313291,0.0,0.253546276418555,0.24880667576405968,0.0,0.14953592858278875,0.12212345531475673
glass1-5-fold,Min-Max Scaler,SVM_lin,0.627906976744186,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6428571428571429,0.6448504983388704,0.009061914748827827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass1-5-fold,Max Abs Scaler,SVM_lin,0.627906976744186,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6428571428571429,0.6448504983388704,0.009061914748827827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass1-5-fold,Robust Scaler,SVM_lin,0.627906976744186,0.6511627906976745,0.6511627906976745,0.627906976744186,0.6428571428571429,0.6401993355481728,0.010484872982099354,0.0625,0.0,0.0,0.06666666666666667,0.0,0.02583333333333333,0.03166666666666666,0.5,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.21081851067789198,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.04444444444444444,0.05443310539518174,0.2453266907313291,0.0,0.0,0.24880667576405968,0.0,0.09882667329907775,0.12104246388200621
glass1-5-fold,Quantile Transformer,SVM_lin,0.7209302325581395,0.6976744186046512,0.627906976744186,0.6046511627906976,0.5714285714285714,0.6445182724252492,0.056341440334086584,0.4375,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2741666666666666,0.0869386757049665,0.7,0.75,0.42857142857142855,0.4,0.36363636363636365,0.5284415584415585,0.16257458036588476,0.5384615384615384,0.31578947368421056,0.27272727272727276,0.32,0.30769230769230765,0.3509341185130659,0.09523104946568492,0.6236095644623235,0.43915503282683993,0.41403933560541256,0.45773770821706344,0.4444444444444444,0.47579721711121686,0.07525200042796434
ecoli-0_vs_1-5-fold,No scaling,SVM_lin,1.0,0.9318181818181818,0.9772727272727273,1.0,0.9772727272727273,0.9772727272727273,0.02489647988659848,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.90625,0.9666666666666667,1.0,0.9655172413793104,0.9676867816091954,0.03425934570112131,1.0,0.9508196721311475,0.983050847457627,1.0,0.9824561403508771,0.9832653319879302,0.017963963177481976,1.0,0.8944271909999159,0.9660917830792959,1.0,0.9682458365518543,0.9657529621262132,0.038573084023858895
ecoli-0_vs_1-5-fold,Standard Scaler,SVM_lin,1.0,0.9772727272727273,0.9772727272727273,1.0,1.0,0.990909090909091,0.011134044285378073,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9866666666666667,0.01632993161855452,1.0,0.983050847457627,0.983050847457627,1.0,1.0,0.9932203389830508,0.008303355060281991,1.0,0.9660917830792959,0.9660917830792959,1.0,1.0,0.9864367132317184,0.016611565908666345
ecoli-0_vs_1-5-fold,Min-Max Scaler,SVM_lin,1.0,0.9318181818181818,0.9545454545454546,1.0,0.9772727272727273,0.9727272727272727,0.026504326794751377,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.90625,0.9354838709677419,1.0,0.9655172413793104,0.9614502224694105,0.036633392715144444,1.0,0.9508196721311475,0.9666666666666666,1.0,0.9824561403508771,0.9799884958297383,0.019158816644067822,1.0,0.8944271909999159,0.9309493362512627,1.0,0.9682458365518543,0.9587244727606066,0.04099656892021925
ecoli-0_vs_1-5-fold,Max Abs Scaler,SVM_lin,1.0,0.9318181818181818,0.9545454545454546,1.0,0.9772727272727273,0.9727272727272727,0.026504326794751377,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.90625,0.9354838709677419,1.0,0.9655172413793104,0.9614502224694105,0.036633392715144444,1.0,0.9508196721311475,0.9666666666666666,1.0,0.9824561403508771,0.9799884958297383,0.019158816644067822,1.0,0.8944271909999159,0.9309493362512627,1.0,0.9682458365518543,0.9587244727606066,0.04099656892021925
ecoli-0_vs_1-5-fold,Robust Scaler,SVM_lin,1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,0.9818181818181818,0.022268088570756142,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9354838709677419,0.9354838709677419,1.0,1.0,0.9741935483870968,0.03160631926171845,1.0,0.9666666666666666,0.9666666666666666,1.0,1.0,0.9866666666666667,0.01632993161855457,1.0,0.9309493362512627,0.9309493362512627,1.0,1.0,0.9723797345005052,0.03382777851698043
ecoli-0_vs_1-5-fold,Quantile Transformer,SVM_lin,0.9772727272727273,0.9318181818181818,0.9772727272727273,1.0,0.9772727272727273,0.9727272727272729,0.022268088570756184,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9666666666666667,0.90625,0.9666666666666667,1.0,0.9655172413793104,0.9610201149425288,0.030342011036998233,0.983050847457627,0.9508196721311475,0.983050847457627,1.0,0.9824561403508771,0.9798755014794558,0.015975368546410865,0.9660917830792959,0.8944271909999159,0.9660917830792959,1.0,0.9682458365518543,0.9589713187420724,0.03474684393472232
wisconsin-5-fold,No scaling,SVM_lin,0.9708029197080292,0.9635036496350365,0.9708029197080292,0.9632352941176471,0.9705882352941176,0.967786603692572,0.0036084228839411135,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9787234042553191,0.9583333333333334,0.9624113475177305,0.0081560283687943,0.9583333333333334,0.9387755102040817,0.9583333333333334,0.92,0.9583333333333334,0.9467551020408163,0.01537319544326707,0.9583333333333334,0.9484536082474228,0.9583333333333334,0.9484536082474226,0.9583333333333334,0.954381443298969,0.004840057051891169,0.967883129726409,0.962304506144919,0.967883129726409,0.9668173744429415,0.9677566999525399,0.9665289679986436,0.002149608799349022
wisconsin-5-fold,Standard Scaler,SVM_lin,0.9708029197080292,0.9562043795620438,0.9635036496350365,0.9632352941176471,0.9705882352941176,0.9648668956633749,0.0054319399328903355,0.9583333333333334,0.9375,0.9375,0.9787234042553191,0.9583333333333334,0.9540780141843971,0.015448442267508085,0.9583333333333334,0.9375,0.9574468085106383,0.92,0.9583333333333334,0.946322695035461,0.015381683827669117,0.9583333333333334,0.9375,0.9473684210526315,0.9484536082474226,0.9583333333333334,0.9499977391933442,0.007803273653298705,0.967883129726409,0.9517872012191037,0.9573048544061933,0.9668173744429415,0.9677566999525399,0.9623098519494375,0.006585188170099698
wisconsin-5-fold,Min-Max Scaler,SVM_lin,0.9781021897810219,0.9635036496350365,0.9635036496350365,0.9632352941176471,0.9852941176470589,0.9707277801631602,0.009242008178137352,0.9583333333333334,0.9583333333333334,0.9375,0.9787234042553191,1.0,0.9665780141843971,0.021194433558899398,0.9787234042553191,0.9387755102040817,0.9574468085106383,0.92,0.96,0.9509891445940077,0.020007928653651266,0.968421052631579,0.9484536082474228,0.9473684210526315,0.9484536082474226,0.9795918367346939,0.95845770538275,0.013183747133059727,0.9734297833285979,0.962304506144919,0.9573048544061933,0.9668173744429415,0.9885710532241612,0.9696855143093626,0.010832076237228552
wisconsin-5-fold,Max Abs Scaler,SVM_lin,0.9781021897810219,0.9635036496350365,0.9635036496350365,0.9632352941176471,0.9852941176470589,0.9707277801631602,0.009242008178137352,0.9583333333333334,0.9583333333333334,0.9375,0.9787234042553191,1.0,0.9665780141843971,0.021194433558899398,0.9787234042553191,0.9387755102040817,0.9574468085106383,0.92,0.96,0.9509891445940077,0.020007928653651266,0.968421052631579,0.9484536082474228,0.9473684210526315,0.9484536082474226,0.9795918367346939,0.95845770538275,0.013183747133059727,0.9734297833285979,0.962304506144919,0.9573048544061933,0.9668173744429415,0.9885710532241612,0.9696855143093626,0.010832076237228552
wisconsin-5-fold,Robust Scaler,SVM_lin,0.9635036496350365,0.9562043795620438,0.9562043795620438,0.9632352941176471,0.9705882352941176,0.9619471876341776,0.005379761817050237,0.9583333333333334,0.9375,0.9166666666666666,0.9787234042553191,0.9583333333333334,0.9499113475177305,0.021124604875364772,0.9387755102040817,0.9375,0.9565217391304348,0.92,0.9583333333333334,0.9422261165335699,0.014085811131492513,0.9484536082474228,0.9375,0.9361702127659574,0.9484536082474226,0.9583333333333334,0.9457821525188272,0.008158295501096225,0.962304506144919,0.9517872012191037,0.9466083750582059,0.9668173744429415,0.9677566999525399,0.959054831363542,0.008417513892610182
wisconsin-5-fold,Quantile Transformer,SVM_lin,0.9708029197080292,0.9708029197080292,0.9708029197080292,0.9632352941176471,0.9558823529411765,0.9663052812365823,0.0059791054618749985,0.9375,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9708333333333334,0.024999999999999994,0.9782608695652174,0.9230769230769231,0.9583333333333334,0.9038461538461539,0.92,0.9367034559643257,0.02734651847077554,0.9574468085106383,0.9600000000000001,0.9583333333333334,0.9494949494949495,0.9387755102040817,0.9528101203086006,0.007895058807708036,0.9627908870231539,0.9772697579354848,0.967883129726409,0.9715041043243724,0.956437518750037,0.9671770795518914,0.007150673510951727
